ID;Ecran_ou_Fonction;Fichier;Lignes;Ce_que_ca_fait;Donnees_lues;Donnees_ecrites;Endpoints_appeles;Signalement
A-018;comptaBrancherPing;admin.bundle.js;698-722;Branche le ping Revolut et connecte les 4 sous-branchers;DOM #revolutPing/#revolutPingOut;out.innerHTML;adminGet('revolut-ping');-
A-019;comptaLoadAccounting;admin.bundle.js;724-734;Charge la compta dans #comptaReport;DOM #comptaReport;box.innerHTML;adminGet('accounting');-
A-020;comptaChargesHtml;admin.bundle.js;736-746;Retourne le HTML du formulaire de charge + table des charges;tableau charges;-;-;-
A-021;comptaBrancherCharges;admin.bundle.js;748-789;Branche l'ajout et la suppression de charges;DOM chgAdd/chgCat/chgLabel/chgAmount;-;adminPostType('charge'), DELETE /api/admin?type=charge&id;-
A-022;comptaRemboursementsHtml;admin.bundle.js;791-802;Retourne le HTML du formulaire de remboursement + table;tableau refunds;-;-;-
A-023;comptaBrancherRemboursements;admin.bundle.js;804-848;Branche l'ajout et la suppression de remboursements;DOM rfAdd/rfAmount/rfAvoir...;-;adminPostType('refund'), DELETE /api/admin?type=refund&id;-
A-024;comptaRenderAccounting;admin.bundle.js;850-923;Rend le compte de resultat, TVA, par mois, par marque, objectifs partenariat, inner: eur, row, kpi;objet a, charges, refunds;box.innerHTML;- (appelle comptaChargesHtml/RemboursementsHtml et branche);-
A-025;comptaLoadCalc;admin.bundle.js;925-934;Charge la config de prix dans #comptaCalc;DOM #comptaCalc;box.innerHTML;adminGet('pricing-config');-
A-026;comptaRenderCalc;admin.bundle.js;936-1068;Rend le calculateur (config prix, test de prix, reprice-all avec contre-verif), inner: pct, repriceHealthHtml, wireRepriceCopy;objet cfg;box.innerHTML, presse-papier;adminPostType('pricing-config'), adminPostType('price-preview'), adminPostType('reprice-all');Ecrit a la fois commissionPct/commissionFix ET stripePct/stripeFix (cles legacy dupliquees) depuis les memes champs
A-027;ligneMouvementPrix;admin.bundle.js;1070-1074;Retourne le HTML d'une ligne de mouvement de prix;objet m;-;-;-
A-028;loadAdminPriceMoves;admin.bundle.js;1076-1096;Charge le journal des mouvements de prix pour la periode selectionnee;DOM #pmJours;#adminPriceMoves innerHTML;adminGet('price-moves' {jours});-
A-029;loadAdminMargins;admin.bundle.js;1098-1111;Charge le calcul des marges, garde-fou _marginsLoaded;A._marginsLoaded, DOM;A._marginsLoaded, el.innerHTML;adminGet('margins');-
A-030;renderAdminMargins;admin.bundle.js;1113-1190;Rend la table des marges avec filtres (packs/faible), recherche et recalcul, inner: eur, eur2, pctf, mcls, matches, paint;data (rows/summary/config);el.innerHTML, #mgRows;-;-
A-031;Ecran: renderAdminFisc;admin.bundle.js;1192-1222;Rend les cartes des declarations fiscales + bascule fait/annule en localStorage;A.fiscDone, A.FISC_DECLARATIONS;#adminFiscBody, localStorage FISC_DONE_KEY;-;-
A-032;renderAdminInvoices;admin.bundle.js;1224-1237;Charge la config vendeur + les factures;DOM #adminInvoicesBody;el.innerHTML;adminGet('invoice-config'), adminGet('invoices');-
A-033;comptaBuildInvoices;admin.bundle.js;1239-1313;Rend le formulaire d'identite entreprise + table des factures + visualisation, inner: v;objet s (seller), list;el.innerHTML, #invoiceView;adminPostType('invoice-config'), GET /api/admin?type=invoice&id;-
A-034;loadAdminPartners;admin.bundle.js;1315-1326;Charge les cartes partenaires dans A._adminPartnersList;DOM;A._adminPartnersList, el.innerHTML;adminGet('partners');-
A-035;adminPartnerFormHTML;admin.bundle.js;1328-1340;Retourne le HTML du formulaire de carte artisan;objet p;-;-;-
A-036;renderAdminPartnerPhotos;admin.bundle.js;1342-1365;Rend les apercus logo/photos et les boutons de suppression;A._adminPartnerLogo/Photos, busy flags;previews innerHTML, A._adminPartnerLogo/Photos;-;-
A-037;bindAdminPartnerForm;admin.bundle.js;1367-1461;Branche le formulaire partenaire (upload logo/photos, compression, soumission);editing, A.ADMIN_PARTNER_PHOTOS_MAX;A._adminPartnerPhotos/Logo/busy;adminPostType('partner-save');-
A-038;renderAdminPartners;admin.bundle.js;1463-1508;Rend la liste des partenaires + formulaire, actions modifier/supprimer;A._adminPartnersList;el.innerHTML;adminPostType('partner-delete');-
A-039;loadAdminInviteCodes;admin.bundle.js;1510-1540;Charge les codes d'invitation + suppression;DOM #adminInviteCodes;el.innerHTML;adminGet('invite-codes'), adminPostType('invite-code-delete');-
A-040;bindAdminInviteCodeCreate;admin.bundle.js;1542-1561;Branche la creation d'un code d'invitation;DOM #adminInviteCodeCreate/Input;input.value;adminPostType('invite-code-save');-
A-041;loadAdminApplications;admin.bundle.js;1563-1595;Charge les candidatures partenaires + les codes d'invitation, inner: line;DOM #adminApplicationsBody;el.innerHTML;adminGet('partner-applications');-
A-042;renderAdminCourierBareme;admin.bundle.js;1597-1666;Rend le bareme conseille livreurs + prix carburant editable + table de couts, inner: fmt, body;A._lvAdminFuel, A.LV_BAREME/LV_CYL/LV_FUEL_DEFAULT;el.innerHTML, A._lvAdminFuel;adminPostType('courier-config');-
A-043;loadAdminCouriers;admin.bundle.js;1668-1809;Charge config carburant, avis, courses, litiges, dossiers livreurs et branche suppr/cloture/review;A._lvAdminFuel, DOM multiples;innerHTML de plusieurs conteneurs;adminGet('courier-config'), adminGet('course-ratings'), adminGet('courses'), adminGet('course-disputes'), adminGet('courier-applications'), adminPostType('course-delete'), adminPostType('course-dispute-close');-
A-044;adminCourierSection;admin.bundle.js;1811-1815;Retourne le HTML d'une section (titre + cartes ou message vide);liste, carte, vide;-;-;-
A-045;adminCourierDossierHTML;admin.bundle.js;1817-1826;Retourne le HTML d'un dossier livreur (pieces, valider/refuser);objet a, A.LV_VEHICLES/PIECES;-;-;-
A-046;adminCourierFicheHTML;admin.bundle.js;1828-1840;Retourne le HTML de la fiche d'un livreur valide (tarifs, activite, notes);objet a (profile), A.LV_BAREME;-;-;-
A-047;reviewCourier;admin.bundle.js;1842-1858;Valide ou refuse un dossier livreur;uid, status, A._currentUser;-;adminPostType('courier-review');-
A-048;ajoutProduitMsg;admin.bundle.js;1860-1866;Ecrit un message d'etat dans #apMsg;DOM #apMsg;z.textContent/className;-;-
A-049;ajoutProduitSpecs;admin.bundle.js;1868-1878;Collecte les couples cle/valeur des specs depuis #apSpecs;DOM .ap-spec;-;-;-
A-050;ajoutProduitLigneSpec;admin.bundle.js;1880-1888;Cree un element DOM de ligne de spec avec bouton retirer;-;element DOM;-;-
A-051;ajoutProduitCorps;admin.bundle.js;1890-1902;Lit les champs du formulaire produit en objet;DOM champs apSku/apTitre..., A._ajoutImage;-;-;-
A-052;Ecran: renderAjoutProduit;admin.bundle.js;1904-1987;Rend la page Ajout de produits (formulaire, lecture image, calcul et creation);A.porteAdmin, ORDRE_CATEGORIES;#ajoutProduitView, A._ajoutImage/_ajoutImageNom;adminPostType('product-price-preview'), adminPostType('product-create');-
A-053;Ecran: renderAdmin;admin.bundle.js;1989-2173;Rend le tableau de bord admin complet (onglets + panneaux) et branche la bascule d'onglets vers les loaders, deconnexion, email test, health;A.porteAdmin;#adminView innerHTML, _adminStatsLoaded/_adminClientsLoaded;fetch /api/test-email (POST), fetch /api/health (GET);-
A-054;loadAdminOrders;admin.bundle.js;2175-2213;Charge la liste des commandes payees (lecture seule), gere l'index Firestore manquant;DOM #adminOrdersList;listEl.innerHTML;fetch /api/admin?type=orders (GET);-
A-055;adminProdFiltres;admin.bundle.js;2215-2233;Filtre A.products selon la recherche A._adminProdQ;A.products, A._adminProdQ;-;-;-
A-056;renderAdminList;admin.bundle.js;2235-2347;Rend la liste editable des produits (stock, prix, fiche) + actions enregistrer/annuler/deplier;A.products, A._adminProdQ, A.ADMIN_PROD_MAX;#adminProductList, A.products (sur save);adminFetch('POST', patch);-
A-057;adminProduitPar;admin.bundle.js;2349-2355;Retrouve un produit par id dans A.products;A.products;-;-;-
A-058;adminBasculerFiche;admin.bundle.js;2357-2386;Ouvre/ferme le panneau fiche complete d'un produit, inner: peindre;produit, p._light;boite.innerHTML;- (appelle A.ensureDetail);-
A-059;adminFicheHtml;admin.bundle.js;2388-2419;Construit le HTML d'edition de la fiche complete (titre, desc, specs, features, visuels);objet p;-;-;-
A-060;adminLigneSpecHtml;admin.bundle.js;2421-2423;Retourne le HTML d'une ligne de caracteristique;cle, val;-;-;-
A-061;adminLigneFeatHtml;admin.bundle.js;2425-2427;Retourne le HTML d'une ligne de point fort;txt;-;-;-
A-062;adminVisuelHtml;admin.bundle.js;2429-2431;Retourne le HTML d'une vignette de visuel avec bouton supprimer;src;-;-;Absent de la liste des 69 fournie mais bien present et exporte
A-063;adminAjouterLigneSpec;admin.bundle.js;2433-2437;Ajoute une ligne de spec dans [data-specs];DOM [data-specs];insertAdjacentHTML;-;Absent de la liste fournie mais present et exporte
A-064;adminAjouterLigneFeat;admin.bundle.js;2439-2443;Ajoute une ligne de point fort dans [data-feats];DOM [data-feats];insertAdjacentHTML;-;Absent de la liste fournie mais present et exporte
A-065;adminReduireImage;admin.bundle.js;2445-2472;Reduit une image a 2000px et la reencode en WebP (dataURL) via canvas, renvoie une Promise;fichier;canvas temporaire;-;Absent de la liste fournie mais present et exporte
A-066;adminBrancherAjoutImage;admin.bundle.js;2474-2504;Branche l'input fichier de visuels, reduit et ajoute a la liste;DOM [data-ajout-img]/[data-images];liste.innerHTML;- (appelle adminReduireImage);Absent de la liste fournie mais present et exporte
A-067;adminEnregistrerFiche;admin.bundle.js;2506-2563;Collecte champs+specs+features+images de la fiche et enregistre;DOM [data-fiche]/.admin-spec/.admin-vis;A.products (via adminProduitPar), DOM row;adminPostType('product-edit');Absent de la liste fournie mais present et exporte
A-068;adminOption;admin.bundle.js;2565-2568;Retourne un <option> HTML avec attribut selected;current, value, label;-;-;Absent de la liste fournie mais present et exporte
A-069;initAdminInstagram;admin.bundle.js;2570-2820;Branche tous les controles Instagram (compte, token, medias, publication brouillon/finish/annuler, commentaires, insights);DOM ig*;A._igDraftCreationId, innerHTML multiples;A.igApiFetch('account'/'exchange-token'/'publish-start'/'publish-finish'/'insights'), A.igLoadMedia, A.igLoadComments;Absent de la liste fournie mais present et exporte
A-070;getAdminSecret;app.visitor.js;11998-12001;Lit le secret admin depuis sessionStorage;sessionStorage pt_admin_secret;-;-;-
A-071;setAdminSecret;app.visitor.js;12002-12007;Ecrit ou retire le secret admin dans sessionStorage;-;sessionStorage pt_admin_secret;-;-
A-072;adminAuthHeaders;app.visitor.js;12014-12024;Construit les entetes (X-Admin-Secret + Bearer token Firebase si connecte), resout toujours;_currentUser, getAdminSecret;headers;-;-
A-073;adminReadResponse;app.visitor.js;12034-12070;Lit une reponse admin en nommant l'echec, construit un message complet (error/erreur/etape/indice/avertissement) et attache err.reponse;r.text, headers;Error enrichie;-;-
A-074;adminNetworkError;app.visitor.js;12071-12075;Construit une erreur de requete bloquee avant reponse;url, err;Error;-;-
A-075;adminGet;app.visitor.js;12082-12093;GET /api/admin?type= avec params en query encodes, renvoie le JSON valide;apiBaseUrl, params;-;fetch /api/admin (GET);-
A-076;adminPostType;app.visitor.js;12096-12102;POST /api/admin?type= avec corps JSON, renvoie le JSON valide;apiBaseUrl, body;-;fetch /api/admin (POST);-
A-077;destroyAdminGlobe;app.visitor.js;12194-12207;Detruit le globe three.js (annule raf, deconnecte observer, dispose ressources);_adminGlobe;_adminGlobe (mis a null);-;-
A-078;afficherPorteAdmin;app.visitor.js;12587-12601;Rend la porte de connexion admin et branche le bouton vers #/auth;raison;view.innerHTML;- (appelle adminLoginTemplate, lvRedirect);-
A-079;porteAdmin;app.visitor.js;12604-12620;Retourne true si la porte prend la main, verifie le claim via type=moi (zero lecture Firestore);getAdminSecret, _adminClaimOk, _currentUser;_adminClaimOk, v.innerHTML;adminGet('moi');-
A-080;adminLoginTemplate;app.visitor.js;12720-12736;Retourne le HTML de la porte de connexion admin (echappe la raison);raison;-;-;-
A-081;renderAdmin (amorce);app.visitor.js;13888-13888;Amorce paresseuse: charge admin.bundle.js puis appelle window.__PT_ADMIN.renderAdmin;window.__PT_ADMIN;script admin.bundle injecte;- (chargerAdmin injecte admin.bundle.js?v=599);-
A-082;renderAjoutProduit (amorce);app.visitor.js;13889-13889;Amorce paresseuse: charge admin.bundle.js puis appelle window.__PT_ADMIN.renderAjoutProduit;window.__PT_ADMIN;script admin.bundle injecte;- (chargerAdmin injecte admin.bundle.js?v=599);-
E-001;AUTH gate;api/admin.js;39-64;Porte d'entree unique de tout le fichier. Applique CORS, repond 204 a OPTIONS, puis choisit la porte selon type: pour type=price-watch ou price-watch-plan appelle auth.requireWatch(req), sinon auth.requireAdmin(req). Refuse (status+error) si non autorise.;req.query.type, en-tetes Authorization (Bearer Firebase) et x-admin-secret / x-watch-secret;-;-;requireAdmin accepte encore le secret rejouable x-admin-secret si ADMIN_SECRET pose, requireWatch accepte le fallback legacy ADMIN_SECRET/x-admin-secret. Le choix de porte depend d'une valeur de query (type) evaluee avant Firestore.
E-002;GET type=price-watch-plan;api/admin.js;78-113;Rend le plan de balayage (67 pages fournisseur) pour brand+source via traqueur-plans, sans lire ni ecrire Firestore. Construit postUrl et la liste d'URLs ordonnees. Place AVANT l'init Firestore volontairement.;req.query.brand, req.query.source, module traqueur-plans/price-parse;-;-;Porte requireWatch (secret dedie ou claim admin), pas requireAdmin.
E-003;GET type=moi;api/admin.js;137-137;Repond {ok,moi:true} sans aucune lecture Firestore, pour tester la propriete quand le quota est epuise.;-;-;-;-
E-004;GET type=revolut-ping;api/admin.js;172-217;Diagnostic reseau Revolut: verifie que la cle secrete sandbox est posee et acceptee par un appel LECTURE (liste des paiements 24h). Refuse si REVOLUT_MODE=prod. Ne rend que la longueur de la cle.;process.env.REVOLUT_SECRET_KEY_SANDBOX (longueur), Revolut listerPaiements;-;Revolut API (sandbox) via _lib/paiement/revolut;-
E-005;GET type=revolut-commande-test;api/admin.js;232-290;Cree un ordre Revolut reel en sandbox (3000 cents, adresse fictive 97139) et rend checkout_url + jeton. Refuse si mode prod ou cle absente.;req.query, CP_DIAGNOSTIC;Ordre de paiement cree chez Revolut (sandbox);Revolut API (creerPaiement, sandbox);-
E-006;GET type=revolut-webhook;api/admin.js;308-362;Enregistre le webhook Revolut vers origine+/api/webhook (idempotent) et RENVOIE le signing_secret a recopier. Refuse si mode prod, cle absente, ou origine non sure.;http.origineSure(req), liste webhooks Revolut;Webhook cree chez Revolut (sandbox);Revolut API (listerWebhooks/creerWebhook, sandbox);Affiche un secret de signature dans la reponse HTTP (documente comme inevitable, non journalise).
E-007;GET type=reconciliation;api/admin.js;386-453;Compare les paiements encaisses chez le fournisseur (fenetre 1-30 j) au journal payments status=succeeded, pour trouver les orphelins. Lecture seule des deux cotes, sans donnee personnelle. Aucune garde prod (volontaire).;req.query.jours, Firestore payments (where status==succeeded), fournisseur.listerPaiements;-;API fournisseur de paiement (Revolut/ancien) via _lib/paiement;-
E-008;GET type=revolut-relire;api/admin.js;467-511;Relit un ordre Revolut sandbox (avec commission) et verifie que le code postal fait l'aller-retour (garde fiscale A1). Lecture seule, aucune facture/email. Refuse si mode prod.;req.query.id, Revolut lirePaiement;-;Revolut API (lirePaiement, sandbox);-
E-009;GET type=webhook-sante;api/admin.js;527-549;Rend l'etat de sante du webhook (jamais recu / accepte / refuse) depuis config/webhook_sante. Compteurs et horodatages seulement.;Firestore config/webhook_sante;-;-;-
E-010;GET type=export-catalogue;api/admin.js;551-571;Rend le catalogue public fusionne (products.json + overrides) pret a recommiter, apres controle qu'aucun champ interne (priceSrcTTC etc.) ne fuit.;catalog.loadPublicCatalog();-;-;Refuse (500) si des champs internes sont detectes, garde-fou anti-fuite de prix d'achat.
E-011;GET type=price-watch;api/admin.js;577-582;Garde fail-loud: repond 405 car price-watch est POST uniquement. N'execute rien.;req.query.type;-;-;-
E-012;GET type=raz-compta;api/admin.js;604-609;Garde fail-loud dans le bloc GET: repond 400 car raz-compta est POST uniquement.;req.query.type;-;-;Le vrai handler a ete deplace dans le bloc POST (CODE-101), body n'existe pas ici.
E-013;GET type=price-moves;api/admin.js;611-649;Rend les prix qui ont bouge sur N jours (1-365) depuis price_watch_log, joint au catalogue pour titre/img. Tri et filtre en memoire.;req.query.jours, Firestore price_watch_log (limit 500), catalog.loadCatalog();-;-;-
E-014;GET type=orders;api/admin.js;651-676;Rend les 50 dernieres commandes tous clients via collectionGroup(orders) trie sur date desc.;Firestore collectionGroup orders (orderBy date desc limit 50);-;-;Requiert un fieldOverride COLLECTION_GROUP DESCENDING sur orders.date, sinon le catch renvoie orders vide + indexUrl.
E-015;GET type=stats;api/admin.js;679-697;Lit integralement analytics_daily/products/clicks/geo et rend analytics.summarize().;Firestore analytics_daily, analytics_products, analytics_clicks, analytics_geo (get complets);-;-;-
E-016;GET type=clients;api/admin.js;700-724;Liste jusqu'a 200 comptes users avec nom/email/phone/adresse/avatar/loyalty et compte de commandes (agregat count par user). Tri par createdAt desc.;Firestore users (limit 200), users/{id}/orders count();-;-;Une requete count() par utilisateur (jusqu'a 200 sous-requetes).
E-017;GET type=pricing-config;api/admin.js;727-730;Rend la config de tarification (marge cible, mode) via priceConfig.load().;priceConfig.load() (Firestore config);-;-;-
E-018;GET type=accounting;api/admin.js;735-781;Construit le compte de resultat: lit payments, charges, refunds et rend accounting.synthesize + charges + refunds bruts. Revenus reels, structure estimee.;Firestore payments (get complet), charges, refunds, priceConfig.load();-;-;-
E-019;GET type=invoice-config;api/admin.js;784-789;Rend l'identite vendeur (config/invoice fusionnee avec DEFAULT_SELLER).;Firestore config/invoice, invoice.DEFAULT_SELLER;-;-;-
E-020;GET type=invoices;api/admin.js;792-807;Liste les factures (payments status=succeeded) avec numero, montant, client. Tri par date desc en memoire.;Firestore payments (get complet, filtre succeeded);-;-;-
E-021;GET type=invoice;api/admin.js;810-822;Genere le HTML imprimable d'une facture pour un paiement donne (buildInvoice+renderHtml).;req.query.id, Firestore payments/{id}, config/invoice;-;-;-
E-022;GET type=partners;api/admin.js;825-843;Liste l'annuaire artisans (partners) fusionne avec le marqueur invite/linkedEmail de partners_private (affichage admin seul).;Firestore partners (orderBy order, fallback sans tri), partners_private;-;-;-
E-023;GET type=invite-codes;api/admin.js;846-861;Liste les codes d'invitation (Black offert) avec actif/usedBy/usedAt/createdAt. Tri desc en memoire.;Firestore invite_codes (get complet);-;-;-
E-024;GET type=partner-applications;api/admin.js;864-887;Liste jusqu'a 200 candidatures partenaires (partner_applications) avec metier/commune/email/phone/tier/reseaux/statut/uid.;Firestore partner_applications (orderBy createdAt desc limit 200, fallback);-;-;-
E-025;GET type=courier-config;api/admin.js;891-895;Rend le prix du litre d'essence (courier_config/main.fuelPrice) pour le bareme livreurs.;Firestore courier_config/main;-;-;-
E-026;GET type=course-ratings;api/admin.js;898-914;Liste les avis clients sur les livreurs extraits des courses notees (note+commentaire+adresse+emails).;Firestore courses (orderBy createdAt desc limit 200, fallback);-;-;-
E-027;GET type=courses;api/admin.js;917-943;Liste jusqu'a 200 courses (statut/adresse/zone/prix/paid/escrow/emails/preuves/note) pour administration et menage.;Firestore courses (orderBy createdAt desc limit 200, fallback);-;-;-
E-028;GET type=course-disputes;api/admin.js;948-985;Liste les courses avec litige ou videos, et genere des URLs SIGNEES temporaires (1h) vers les videos dans Firebase Storage. Admin seul.;Firestore courses (limit 200), Firebase Storage (getSignedUrl par video);URLs signees generees (pas de mutation stockee);Firebase Storage (bucket.getSignedUrl);-
E-029;GET type=courier-applications;api/admin.js;989-1032;Liste les dossiers livreurs (courier_applications) et, pour les valides, joint la fiche publique couriers_public (photo/commune/tarifs/note).;Firestore courier_applications (limit 200), couriers_public/{uid} pour les valides;-;-;-
E-030;GET type=refunds;api/admin.js;1037-1043;Liste jusqu'a 500 remboursements (refunds) tries par dateMs desc, fallback sans tri.;Firestore refunds (limit 500);-;-;-
E-031;GET type=charges;api/admin.js;1046-1051;Liste jusqu'a 500 charges (charges) triees par dateMs desc, fallback sans tri.;Firestore charges (limit 500);-;-;-
E-032;GET type=margins;api/admin.js;1056-1105;Calcule les marges nettes LIVE au prix actuel: fusionne catalogue + product_overrides, applique pricing-model. Renvoie costTTC (prix d'achat) SENSIBLE, marge nette/pct, total et packs.;Firestore product_overrides (get complet), catalog.loadCatalog(), priceConfig.load();-;-;Expose costTTC (cout d'achat fournisseur) dans la reponse, sortie reservee a cet endpoint requireAdmin.
E-033;GET default (overrides);api/admin.js;1107-1111;Route par defaut du bloc GET: liste TOUS les product_overrides.;Firestore product_overrides (get complet);-;-;Le catch global (1112-1135) transforme les erreurs d'index en 200 + indexUrl.
E-034;POST type=price-watch;api/admin.js;1141-1143 (handler 2917-3900);Traqueur de prix fournisseur: parse le texte/HTML cotebrico poste, extrait ref+prix hors promo, recalcule et applique les prix avec garde-fous (MIN_TTC/MAX_TTC, dryRun). Ecrit overrides + journal.;req.body.text, req.query (brand/source/scan/dryRun), Firestore product_overrides, price_watch_log, catalog;Firestore product_overrides (set prix), price_watch_log (add);-;Passe par requireWatch (E-001), donc accessible via secret dedie x-watch-secret sans claim Firebase.
E-035;POST type=raz-compta;api/admin.js;1177-1214;Remise a zero DEFINITIVE de la compta: sans confirmer=OUI compte seulement, sinon supprime par lots de 400 payments/charges/refunds/stripe_events et remet config/invoice a 0.;req.body.confirmer, tailles des collections;Firestore delete payments,charges,refunds,stripe_events , config/invoice set {last:0};-;Suppression irreversible, garde par confirmer=OUI en mode essai par defaut.
E-036;POST type=pricing-config;api/admin.js;1217-1224;Sauvegarde la config de tarification (priceConfig.save du body).;req.body;Firestore config (via priceConfig.save);-;-
E-037;POST type=price-preview;api/admin.js;1227-1240;Calcule un prix recommande cote serveur (priceModel.recommend) a partir de poids/categorie/cout, sans ecrire.;req.body (weight/ncCategory/variantRole/costHT/costTTC/mode), priceConfig.load();-;-;-
E-038;POST type=reprice-all;api/admin.js;1245-1247 (handler 2296-2410);Recalcule TOUS les prix depuis le modele en utilisant le cout source connu (override priceSrcTTC ou price_ht x VAT) et ecrit les nouveaux prix dans product_overrides.;Firestore product_overrides, catalog;Firestore product_overrides (set prix recalcules);-;-
E-039;POST type=partner-save;api/admin.js;1254-1314;Upsert d'une carte artisan (allowlist stricte, photos dataURL bornees par tier, logo). Resout linkedEmail en uid via Firebase Auth et ecrit la liaison privee.;req.body (tier/name/metier/commune/photos/logo/linkedEmail...), Firebase Auth getUserByEmail;Firestore partners/{id} (set merge false), partners_private/{id} (set merge guest+uid);Firebase Auth (getUserByEmail);-
E-040;POST type=product-price-preview;api/admin.js;1322-1340;Simule le prix de vente a partir d'un cout fournisseur TTC via priceModel.recommend, sans ecrire.;req.body (srcTTC/weight_kg/category);-;-;-
E-041;POST type=product-create;api/admin.js;1378-1458;Cree une fiche produit a la main: seul le cout fournisseur (srcTTC) est saisi, le prix de vente est calcule serveur (recommend). Refuse doublon SKU. Image stockee telle quelle (max 700000 signes). Ecrit dans product_overrides.;req.body (sku/title/brand/category/srcTTC/weight_kg/specs/img/desc), catalog.loadCatalog();Firestore product_overrides/{id} (set merge false, srcTTC inclus non servi);-;Un price venu du formulaire est ignore (serveur autoritaire).
E-042;POST type=product-edit;api/admin.js;1480-1598;Edite une fiche complete (title/desc/description_long/tag/stock/weight/specs/features/images) avec bornes explicites par champ. Le prix n'est PAS modifiable ici (volontaire).;req.body (id + champs bornes);Firestore product_overrides/{id} (set merge true);-;Le poids modifie ici change le prix de vente calcule ailleurs (signale comme argent dans le code).
E-043;POST type=invite-code-save;api/admin.js;1603-1624;Cree un code d'invitation (fourni normalise ou genere PT-XXXXXX). create() echoue si deja existant (pas d'ecrasement).;req.body.code;Firestore invite_codes/{code} (create);-;-
E-044;POST type=courier-config;api/admin.js;1627-1639;Sauvegarde le prix du litre d'essence (0,5-5 EUR/L) dans courier_config/main.;req.body.fuelPrice;Firestore courier_config/main (set merge);-;-
E-045;POST type=courier-review;api/admin.js;1642-1686;Valide/refuse un dossier livreur: ecrit statut dans courier_applications ET couriers/{uid}.kycStatus (la vraie porte d'acces), puis RELIT pour confirmer l'effet, sinon 500 explicite.;req.body (uid/status);Firestore courier_applications/{uid} (set), couriers/{uid}.kycStatus (set merge);-;-
