ID;Fichier;Lignes;Axe;Severite;Constat;Preuve;Recommandation;Impact;Effort
SE-006;app.visitor.js;12006-12034;Sécurité;P3;ZÉRO secret en dur côté visiteur. Le secret admin n'est jamais écrit dans le code: il est lu à l'exécution depuis sessionStorage (saisi par l'user) et injecté en en-tête X-Admin-Secret. Aucune clé de service, aucun bearer statique.;ADMIN_SECRET_KEY='pt_admin_secret' est une CLÉ de storage (l.12006), getAdminSecret lit sessionStorage (l.12009), adminAuthHeaders injecte X-Admin-Secret + Bearer getIdToken à la volée (l.12025-12031), grep apiKey/AIza/private_key sur app.visitor.js = 0 hit;Aucune action.;1;S
SE-007;firebase-init.js;35-37;Sécurité;P3;La clé Firebase apiKey est en clair dans un fichier servi — c'est PUBLIC PAR DESIGN (identifiant de projet côté client, pas un secret, la sécurité repose sur firestore.rules + App Check). À noter comme tel, ce n'est pas une fuite.;firebaseConfig={apiKey:AIzaSy...,authDomain:pirates-tools.firebaseapp.com} (l.35-37), c'est la seule clé exposée et aucun secret serveur n'est présent;Rien à masquer, s'assurer que firestore.rules (default-deny, cf SE-010) reste la vraie défense et envisager App Check pour brider l'usage de la clé.;1;S
SE-008;api/_lib/auth.js;74-119;Sécurité;P2;x-watch-secret vérifié en temps constant contre process.env.WATCH_SECRET (env Vercel), transmis par en-tête depuis le raccourci iPad. ROTABLE en théorie (changer la variable Vercel) mais AUCUNE rotation automatique ni horodatage: le secret est figé dans l'automation iPad et sans cycle de vie documenté, il dérive vers un secret permanent.;expected=process.env.WATCH_SECRET (l.74), timingSafeEqualStr(provided,expected) (l.77), la valeur vit dans un en-tête (docs auth.js l.59-60), aucun mécanisme de rotation dans le code;Documenter une rotation périodique (changer WATCH_SECRET Vercel + mettre à jour le raccourci iPad) dans docs/TRAQUEUR-URLS.md, rotation immédiate si un log proxy a pu capter l'en-tête.;2;S
SE-009;api/admin.js;1056-1104;Sécurité;P3;EXPOSITION costTTC (coût d'achat fournisseur, donnée SENSIBLE): GET type=margins renvoie rows[].costTTC. Risque BORNÉ — la branche passe par requireAdmin (type≠watch => l.63) et le champ est tenu hors de /api/products (PRIVATE_FIELDS). Le risque résiduel est celui de SE-002 (si x-admin-secret rejouable fuit, coût d'achat et marge sortent).;costTTC:pwRound2(costTTC) poussé dans rows (l.1087), commentaire l.1084-1086 ne sort QUE par cet endpoint admin (requireAdmin) jamais par /api/products, rendu admin escapé/formaté (admin.bundle.js l.1164);Acceptable tant que la voie secret rejouable (SE-002) est fermée, ne jamais ajouter costTTC à une réponse publique et garder le garde check-catalog-public.;3;S
SE-010;firestore.rules;139-264;Sécurité;P3;RÈGLES ÉPROUVÉES côté client NON-admin: un visiteur ne peut NI lire NI écrire product_overrides, orders d'autrui, accounting (payments/charges/refunds/config), ni rate_limits. Toutes ces collections sont allow read,write:if false, doublées par le default-deny final. orders est self-only en lecture et création bornée à quote/pending.;product_overrides if false (l.153), charges (l.154), refunds (l.155), config (l.156), payments (l.150), rate_limits (l.152), users/{uid}/orders read isOwner + create status in quote|pending + update:false (l.114-129), catch-all if false (l.262-264);Conforme. RAPPEL règle projet: ces rules ne protègent qu'une fois DÉPLOYÉES (firebase deploy --only firestore:rules), vérifier le déploiement effectif.;2;S
SE-011;admin.bundle.js;326-343,1687-1839;Sécurité;P3;XSS — les fabriques HTML de l'admin ÉCHAPPENT systématiquement les champs venant de Firestore via A.escapeHTML (emails, noms, adresses, commentaires, motifs de litige, titres produits). Les images passent par des VALIDATEURS (isSafePartnerImg/safeImgSrc: data:image seulement) au lieu d'être insérées brutes. Aucun sink innerHTML non échappé sur donnée externe trouvé.;Clients email/phone/address/name escapés (l.336-341), avis comment/address/emails escapés (l.1690), courses et litiges escapés + url vidéo escapée (l.1718,1752-1754), fiche livreur photo filtrée isSafePartnerImg avant src (l.1834-1836), stats labels via barRows/escapeHTML (app.visitor.js l.12143) et productTitleByKey escapé (l.53);Aucune correction nécessaire, maintenir la règle escapeHTML sur tout champ externe et le filtre data:image sur tout src.;2;S
SE-012;app.visitor.js;13820-13886;Sécurité;P2;SURFACE window.__PT_ADMIN_CTX — expose GLOBALEMENT à tout script de la page des accesseurs qui FABRIQUENT de l'authentification: adminAuthHeaders() (mint jeton Firebase Bearer + injecte X-Admin-Secret), _currentUser (objet Firebase vivant avec getIdToken), adminGet/adminPostType (requêtes déjà authentifiées), setAdminSecret. Sur #/admin dans la session du propriétaire, un script tiers admis par la CSP pourrait EXFILTRER le bearer/secret, LIRE toute la PII clients (adminGet('clients')) ou MUTER des données.;__PT_ADMIN_CTX=__A expose adminAuthHeaders (l.13854), adminGet (l.13855), adminPostType (l.13856), _currentUser (l.13848), setAdminSecret (l.13882). CSP script-src admet des CDN tiers (jsdelivr, ajax.googleapis, gstatic) dans vercel.json l.51, donc la surface n'est pas strictement same-origin;Restreindre le CTX au strict nécessaire au rendu, ne PAS y exposer adminAuthHeaders/_currentUser/setAdminSecret (garder l'auth dans la fermeture visiteur), et réduire script-src aux seules origines réellement utilisées.;4;M
SE-013;api/contact.js;14-75;Sécurité;P3;contact.js n'a AUCUNE branche admin (pas de requireAdmin/x-admin-secret) — VOULU. Ses branches sont soit publiques (contact, partner-application) soit authentifiées par jeton Firebase de l'utilisateur (verifyUid/verifyIdentity), l'uid venant TOUJOURS du jeton vérifié jamais du corps. Les opérations d'admin sur courses/litiges vivent dans api/admin.js.;Handler POST routé par body.type, per-utilisateur via Bearer verifyUid, aucune branche admin-secret (inventaire E-057), conforme à la règle projet l'uid ne vient jamais du corps;Aucune action, garder les opérations d'administration hors de contact.js.;2;S
TR-001;api/admin.js;3098-3437,3457,3594;Traqueur;P2;Le mode sec (sec=1) est purement piloté par requête (query/body), sans drapeau serveur ni kill-switch. Une garde EXISTE mais elle est STRUCTURELLE (return anticipé) et unique : aucun re-contrôle !secMode dans le bloc d'écriture. Un jour où un chemin d'écriture passerait avant le return, rien ne l'attraperait.;secMode lu req.query/body admin.js:2925 , bloc if(secMode){...return res.status(200)} admin.js:3098-3437 se termine AVANT la lecture Firestore (db.collection('product_overrides').get() admin.js:3457) et AVANT la boucle d'écriture (for(item of parsed) admin.js:3594). Aucun assert dans la boucle.;Ajouter une garde ceinture-bretelles : 1 ligne assertPasSec(secMode) juste avant la boucle admin.js:3594 (throw si secMode). Pour la mise en réel de ce soir, ajouter un kill-switch d'env TRAQUEUR_ECRIRE=1 gatant TOUT set() : un défaut sec=0 involontaire ne peut alors pas écrire tant que l'env n'est pas posé.;4;S
TR-002;api/admin.js;3676-3696,3679,3780;Traqueur;P3;Idempotence VÉRIFIÉE : deux runs consécutifs sur le MÊME relevé sont stables. Au 2e run cur vaut déjà newPrice donc branche unchanged , dejaAJour vrai donc ZÉRO écriture et ZÉRO ligne de journal. Pas de double marge, pas de double log. Constat rassurant mais non prouvé faillible par un test.;dejaAJour compare entreeSrc.ttc/srcRetenu et priceSrcTTC/effSrc admin.js:3676-3677 , unchanged si abs(newPrice-cur)<0.02 admin.js:3679 , price_watch_log.add UNIQUEMENT sur le chemin applied admin.js:3780 (jamais sur unchanged) , patchU écrit seulement si !dejaAJour admin.js:3686.;Ajouter un test de régression (tests/lancer.mjs) qui rejoue handlePriceWatch DEUX fois sur le même texte et assère : 2e run applied=0, price_watch_log +0 doc, product_overrides +0 write. Prouve la garde faillible en cassant volontairement dejaAJour.;2;S
TR-003;api/admin.js,api/create-payment-intent.js,api/render.js;1983,2011,155-163,291-297;Traqueur;P1;GARDE DE FRAÎCHEUR ABSENTE entre 0 et 14 j. Si l'iPad reste éteint, RIEN ne se passe pendant 14 j (SOURCE_FRESH_MS) : le dernier prix calculé continue de s'afficher ET de se vendre. Le paiement ne regarde PAS l'âge de priceCheckedAt (seulement la panne Firestore >15min). Passé 14 j le coût gèle (prix figé, produit NON retiré, paiement TOUJOURS autorisé). Pire : le JSON-LD émet encore une offre avec priceValidUntil dans le PASSÉ (releve+14j), que Google signale comme périmée.;SOURCE_FRESH_MS=14j price-parse.js:1983 , choisirCoutSource ignore >14j puis GEL 'perime' price-parse.js:2011 (prix figé, pas retiré) , paiement refuse seulement si !prixConfirmes=panne Firestore create-payment-intent.js:155-163 (aucun test d'âge) , JSON-LD offre émise si prixConfirmes, priceValidUntil=releve+14j render.js:291-297 sans borne now.;Cadence réelle ~12h (2x/jour). Coder 3 paliers sur age=now-priceCheckedAt : (a) age>36h (3 passes manquées) = alerte admin , (b) age>72h (6 passes) = retirer l'offre JSON-LD (ne pas émettre data.offers) au lieu d'émettre une priceValidUntil passée , (c) borne existante 14j garde le gel du coût. Ne PAS bloquer le paiement (priorité argent : un prix observé reste un vrai prix) mais alerter.;5;M
TR-004;api/admin.js;204,2323-2324,2402;Traqueur;P1;AUCUNE alerte admin sur l'âge du dernier relevé. reprice-all expose origins/estimes/gels par ORIGINE de coût (traqueur/fiche/variante/estimé), pas par âge de relevé , l'overview n'a que ordresDernieres24h (commandes). Aucun panneau ne calcule max/median de priceCheckedAt. Un iPad muet 24h+ est invisible en admin.;ordresDernieres24h = commandes Revolut, pas relevés admin.js:204 , origins/estimes/gels bâtis sur srcInfo.origin admin.js:2323-2324,2402, jamais sur l'âge priceCheckedAt , aucun where/compare priceCheckedAt vs 24h/heures dans admin.js (grep : uniquement fenêtres 14j).;Ajouter au panneau admin un champ dernierReleve = max(priceCheckedAt) sur tous les overrides + un compteur fichesPeriodees = nb de fiches dont now-priceCheckedAt > 36h. Alerte visible si now-max > 24h (2 passes manquées à cadence 12h). Chiffres : seuil alerte 24h, seuil critique 72h.;4;M
TR-005;api/_lib/price-parse.js,api/admin.js;64-126,199-265,147,152,1196-1227,2957-2958,2025-2028,2249,1988;Traqueur;P2;Références EXHAUSTIVES de cotebrico/clickoutil à retirer. Parseurs : parseCotebrico + parseClickoutil , motifs RUPTURE_RE/UNITE_RE dédiés , parseAuto les exécute INCONDITIONNELLEMENT et a deux branches de format 'cotebrico'/'clickoutil'. Slug par défaut 'cotebrico'. TROIS lectures d'HÉRITAGE lisent encore priceSource==='cotebrico' sur les overrides Firestore existants.;parseCotebrico price-parse.js:64-126 , parseClickoutil price-parse.js:199-265 , RUPTURE_RE price-parse.js:147, UNITE_RE price-parse.js:152 , parseAuto appelle les deux price-parse.js:1196-1197 et branche formats price-parse.js:1224-1227 , slug défaut admin.js:2957-2958 , héritage pwSourcesConnues admin.js:2025-2028, pwSourceCost admin.js:2249, pwVariantCosts admin.js:1988 , fixtures CI scripts/check-price-watch.js:236-392,1879-1883.;Retrait en 3 temps SÛR (voir TR-007). Ne PAS supprimer d'un bloc : distinguer le code de PARSE (supprimable) des lectures d'HÉRITAGE Firestore (à conserver tant que d'anciens overrides portent priceSource:cotebrico).;3;M
TR-006;api/admin.js;2957-2958,3664,3773;Traqueur;P1;Chemin VIF dangereux : le slug par défaut 'cotebrico' devient la CLÉ Firestore priceSources. Un POST idealo sans &source range les prix d'idealo sous priceSources.cotebrico — source mal étiquetée, qui pollue le choix du moins cher et l'héritage. Après suppression, 'cotebrico' ne doit plus être le défaut.;sourceSlug défaut 'cotebrico' admin.js:2957-2958 , écrit tel quel comme clé srcsMaj[sourceSlug] admin.js:3664 et patchA.priceSources[sourceSlug] admin.js:3773 , log source:sourceSlug admin.js:3781.;Changer le défaut en 'idealo' (admin.js:2957-2958) AVANT la mise en réel de ce soir — c'est le seul changement de retrait à faire en priorité P1. Optionnel : refuser l'écriture si plans.plan(brand,source) est null (voir TR-012).;4;S
TR-007;api/admin.js,api/_lib/price-parse.js;1988,2025-2028,2249,1196-1197;Traqueur;P2;Retrait NAÏF risqué : les lectures d'héritage 'cotebrico' réensemencent les coûts RÉELS d'avant 01/08 , les supprimer ferait silencieusement basculer ces coûts en 'estimé' et neutraliserait le garde-fou coffret. De plus pwVariantCosts (admin.js:1988) et pwSourceCost (admin.js:2249) ne reconnaissent QUE 'cotebrico' comme coût réel hors carte — idealo n'y est PAS câblé, donc un coût idealo ne sème pas la variante jumelle ±20€.;pwVariantCosts real=(o.priceSource==='cotebrico'&&ovHasCost) admin.js:1988 , pwSourceCost héritage cotebrico admin.js:2249 , pwSourcesConnues admin.js:2025-2028 , parseAuto exécute cote+clic price-parse.js:1196-1197.;Ordre sûr : 1) défaut slug -> 'idealo' (TR-006) , 2) élargir les 3 lectures d'héritage pour reconnaître AUSSI un coût issu de la carte priceSources (idealo) — sinon variante jumelle silencieusement 'estimé' , 3) laisser l'héritage cotebrico lisible jusqu'à péremption (14j) des vieux overrides , 4) alors seulement supprimer parseCotebrico/parseClickoutil + simplifier parseAuto + retirer fixtures CI.;3;M
TR-008;api/admin.js,api/_lib/price-parse.js;3699,3700-3718,3569-3572,2994;Traqueur;P1;Garde-fous idealo INSUFFISANTS pour un déclencheur autonome 2x/jour. Existant : bornes ABSOLUES MIN_TTC=5/MAX_TTC=8000 (flagged, pas appliqué) , le plafond de VARIATION a été retiré (D-015) donc aucun rejet ni alerte sur une variation par relevé , l'écart tuiles-vues/tuiles-lues est mesuré mais NON seuillé en alerte , pagesRefusees compté mais sans seuil déclencheur.;bornes absolues MIN/MAX admin.js:3699 , MAX_MOVE retiré admin.js:3700-3718 , ecartComptageTuiles rendu mais non alerté admin.js:3569-3572 , pwCouvRefus compte sans seuil admin.js:2994.;Ajouter (sans réintroduire un BLOC, D-015 respecté) : (i) variation par relevé abs(newPrice-cur)/cur > 40% = APPLIQUÉ mais flaggé pour revue admin , une BAISSE > 60% = suspendu en attente de confirmation (probable frais-de-port capté ou mauvais parse) , (ii) pages vides : pagesRefusees >= 5 sur 67 (~7%) OU tuilesLues < 80% de parPage(60) sur >= 5 pages = alerte scan , (iii) couverture : si un balayage complet donne < 50% des fiches de la marque avec relevé frais = alerte.;5;M
TR-009;api/_lib/price-parse.js,api/_lib/nomenclature.js;474,536,585,606,674,716,852-854;Traqueur;P1;EXTENSIBILITÉ MULTI-MARQUES BLOQUÉE par du DeWALT en dur. La lecture de référence idealo dépend de la nomenclature DEWALT : teteConnue interroge nomen.PREFIXES_DEWALT , l'acceptation d'une réf SANS chiffre est gatée sur ces préfixes. PREFIXES/BATTERIES/MARQUEURS/SUFFIXES sont tous _DEWALT. GAMMES connaît MAKITA (LXT/CXT/XGT) mais AUCUN préfixe MAKITA/BOSCH. Décliner à MAKITA/BOSCH = écrire une nomenclature par marque = CODE, pas un plan.;teteConnue -> nomen.PREFIXES_DEWALT price-parse.js:474 , réf sans chiffre acceptée si teteConnue price-parse.js:536 , PREFIXES_DEWALT nomenclature.js:716, BATTERIES_DEWALT :585, MARQUEURS_DEWALT :606, SUFFIXES_DEWALT :674 , GAMMES MAKITA sans préfixes nomenclature.js:852-854.;Rendre la nomenclature indexée par marque : nomen.PAR_MARQUE[brand].PREFIXES/SUFFIXES/... et faire teteConnue/candidatsAvecPosition recevoir brand. Une nouvelle marque = un bloc de config nomenclature, pas une modification du parseur. Sans ça, chaque marque force une copie du parseur idealo.;5;L
TR-010;api/_lib/price-parse.js;437,463,466;Traqueur;P2;Grammaire de référence DeWALT en dur DANS le chemin idealo partagé : PREFIXES_KIT /^(DCK|FVK)/, PIECE_DETACHEE /^N\d{5,}$/, LISTE_MODELES en forme DeWALT. Ces motifs faussent la lecture pour une autre marque (une réf MAKITA/BOSCH ne suit pas ces formes) et forcent une édition du parseur par marque.;PREFIXES_KIT price-parse.js:463 , PIECE_DETACHEE price-parse.js:466 , LISTE_MODELES price-parse.js:437 (motif DeWALT).;Déplacer ces motifs dans la nomenclature PAR_MARQUE (avec TR-009) : kits, pièces détachées et listes de modèles se déclarent par marque. Le parseur idealo reste unique et paramétré.;3;M
TR-011;api/_lib/price-parse.js;1195-1198,1218-1227;Traqueur;P3;L'aiguillage parseAuto exécute une LISTE FIGÉE de 3 parseurs (cote/clic/idea) codée en dur , ajouter/retirer un SITE édite ce code. Pour le but énoncé (même comparateur idealo, plus de marques) ce n'est PAS bloquant car parseIdealo est déjà paramétré par brand. Ce l'est pour l'extension multi-SITES.;parseAuto appelle parseCotebrico/parseClickoutil/parseIdealo en dur price-parse.js:1195-1198 , branches de format figées price-parse.js:1218-1227.;Après le retrait (TR-005/007), remplacer la liste figée par un registre de parseurs indexé par site, alimenté depuis traqueur-plans (le plan porte déjà site:'idealo'). Ajout d'un site = une entrée de registre, pas une édition d'aiguillage.;2;M
TR-012;api/admin.js,api/_lib/traqueur-plans.js;2957-2958,82-92,67-68;Traqueur;P2;Le chemin d'ÉCRITURE n'exige aucun plan déclaré : seul GET price-watch-plan renvoie 404 si le plan manque, mais POST price-watch écrit quel que soit &source (slug simplement nettoyé). Une marque/source sans plan écrit quand même sous un slug arbitraire — l'identité de source ne vient pas de la config.;slug POST juste nettoyé, aucune validation contre PLANS admin.js:2957-2958 , seul le GET plan 404 admin.js:82-92 , plan() rend null si absent traqueur-plans.js:67-68 mais n'est pas consulté à l'écriture.;Sur le POST price-watch, refuser (ou flagger) si plans.plan(brand,sourceSlug) est null (sauf héritage). L'identité de source devient alors garantie par la config traqueur-plans — ajouter une marque = ajouter un plan, et rien ne peut écrire hors plan.;3;S
ST-001;admin.bundle.js + api/_lib/analytics.js;38-43 / 261-296;Statistiques;P2;KPIs audience (Visites, Pages vues, Clics, Visiteurs, Nouveaux, Recurrents) affiches SANS aucune periode - summarize agrege tout l'historique disponible (jusqu'a 14 mois de retention);analytics.js:266-270 somme sur tous les docs analytics_daily , admin.js:692-696 readAll sans filtre date , admin.bundle.js:38-43 statCard sans selecteur;Ajouter un selecteur 7j/30j/Total et filtrer analytics_daily par le champ date (deja au format YYYY-MM-DD). RECOMMANDE: defaut 30j , options 7j et Total;4;M
ST-002;api/admin.js;701 / 723;Statistiques;P1;Le nombre de clients ET toutes les cartes client sont plafonnes a 200 comptes: users.limit(200) , et total=clients.length est calcule APRES le plafond -> au-dela de 200 le total est silencieusement sous-evalue (tronque);admin.js:701 db.collection('users').limit(200).get() , admin.js:723 return total: clients.length (longueur de la liste deja plafonnee);Pour le COMPTE afficher un count() aggregate sur users (non plafonne) distinct de la liste , paginer la liste ou lever le plafond. Ne jamais deriver le total d'une liste bornee;4;M
ST-003;admin.bundle.js + api/_lib/analytics.js;53 / 215 / 23;Statistiques;P2;La colonne 'Clics' du tableau produits mesure en realite les select_item (clic sur la carte produit) , pas un clic generique - libelle trompeur;analytics.js:215 if select_item -> pInc.selects=1 , analytics.js:23 EVENT_ALLOWLIST select_item = 'clic sur une carte produit' , admin.bundle.js:53 colonne intitulee 'Clics' = p.selects;Renommer la colonne 'Selections' ou 'Clics carte' (correction de libelle , aucune donnee touchee). Effort minimal , aucun risque - RECOMMANDE: renommer;2;S
