ID;Statistique_affichee;Fichier;Lignes;Definition_exacte;Periode;Source_de_donnees;Signalement
S-019;Marge nette moyenne;admin.bundle.js;1140;compta-kpi = pctf(s.avgMarginPct). Serveur api/admin.js type=margins l.1094,1100 : avg = moyenne arithmétique de rows.marginPct sur tous les produits, avgMarginPct=Math.round(avg*10)/10;Aucune (prix actuels du catalogue live);catalog (products.json + product_overrides) + pricing-config (Firestore);Moyenne NON pondérée par produit (pas par volume de ventes) , marge théorique au prix affiché, pas des ventes réelles
S-020;Marge € cumulée (1 vente de chaque);admin.bundle.js;1140;compta-kpi = eur(s.totalNet). Serveur l.1093,1100 : totalNet = somme de r.netEur (marge nette après IS) sur tous les produits, une unité chacun;Aucune (prix actuels);catalog + product_overrides + pricing-config;Sous-titre "1 vente de chaque" — n'est PAS un CA réel, c'est la somme des marges d'une unité de chaque référence
S-021;Gros packs (nombre + marge cumulée);admin.bundle.js;1140;compta-kpi = s.packCount (nb produits isPack) , sous-titre marge = eur(s.packNet). Serveur l.1095,1101 : packs=rows.filter(isPack), packNet=somme netEur des packs. isPack déterminé l.1076-1080 (variantRole coffret / catégorie combo / regex SKU/titre);Aucune (prix actuels);catalog + product_overrides + pricing-config;-
S-022;Produits (nombre analysé);admin.bundle.js;1140;compta-kpi = s.count. Serveur l.1100 : count=rows.length = nb de produits avec price_ht>0 (filtre l.1067);Aucune;catalog (products.json) filtré price_ht>0;-
S-023;Marges — Mon achat (TTC);admin.bundle.js;1164;Colonne costTTC = eur2(r.costTTC). Serveur l.1071-1073,1087 : ci=pwSourceCost (traqueur > prix fiche > estimé) , costTTC = ci.srcTTC si >0 sinon priceHt/PW.MARGIN*(1+tvaFR) , costSrc=ci.origin;Aucune (coût courant);Firestore product_overrides + catalog + pricing-config (traqueur de prix fournisseur);Coût sensible (prix d'achat fournisseur) , marqueur ~ affiché si costSrc==='estimé'
S-024;Marges — Prix TTC 971;admin.bundle.js;1164;Colonne ttc971 = eur(r.ttc971). Serveur l.1074,1088 : priceModel.marginAt(...).ttc — prix TTC territoire 971;Aucune;catalog price_ht + pricing-model (territoire 971);-
S-025;Marges — Poids;admin.bundle.js;1164;Colonne = r.weight kg. Serveur l.1083 : r.weight issu de priceModel.marginAt;Aucune;catalog / pricing-model;-
S-026;Marges — Marge % (par produit);admin.bundle.js;1164;Colonne = pctf(r.marginPct). Serveur l.1089 : marginPct=Math.round(r.marginAfterIS*1000)/10 (marge nette après IS). Classe couleur mcls (<=0 crit, <10 warn);Aucune;catalog + pricing-model + pricing-config;-
S-027;Marges — Marge € (par produit);admin.bundle.js;1164;Colonne = eur2(r.netEur). Serveur l.1089 : netEur=pwRound2(r.netAfterIS) — marge nette en euros après IS pour 1 unité;Aucune;catalog + pricing-model + pricing-config;-
S-028;Chiffre d'affaires (KPI);admin.bundle.js;873;kpi('Chiffre d'affaires') = eur(a.ca_ttc) TTC / eur(a.ca_ht) HT. Serveur type=accounting l.735-777 via accounting.synthesize l.231-233 : ca_ttc et ca_ht NETS de remboursements (caTtc-=rb.ttc, caHt-=rb.ht, synthesize l.191-192);All-time (toute la collection payments);Firestore payments (status succeeded, amountCents) moins refunds , TVA territoriale via pricing.getTerritory;-
S-029;Ventes (KPI);admin.bundle.js;873;kpi('Ventes') = a.nb_ventes. Serveur synthesize l.249 : nb_ventes = succeeded.length (paiements status succeeded et amountCents>0, l.149);All-time;Firestore payments (succeeded);Compte les paiements réussis, pas déduit des remboursements
S-030;Marge brute (KPI);admin.bundle.js;873;kpi('Marge brute') = eur(a.marge_brute). Serveur synthesize l.200,235 : marge_brute = caHt - cogs (après retrait remboursements caHt-=rb.ht, cogs-=rb.cogsAnnule);All-time;Firestore payments (cogsHtCents snapshoté) + refunds;-
S-031;Résultat net (KPI);admin.bundle.js;873;kpi('Résultat net') = eur(a.resultat_net). Serveur synthesize l.210,247 : resultat_net = resultatExpl - is;All-time;payments + charges + refunds + pricing-config (barème IS);-
S-032;Ventes encaissées (brut TTC/HT);admin.bundle.js;875;row = eur(a.brut.ca_ttc) TTC · eur(a.brut.ca_ht) HT. Serveur synthesize l.256-258 : brut.ca_ttc/ca_ht = totaux AVANT remboursements;All-time;Firestore payments (succeeded);-
S-033;Remboursements clients (nb + total TTC);admin.bundle.js;875;row conditionnel si a.remboursements.nb>0 : "N vente(s) annulée(s)" + eur(a.remboursements.total_ttc). Serveur synthesize l.260-263 via applyRefunds (nb, ttc);All-time;Firestore refunds (amountTtc);-
S-034;Ventes nettes (TTC/HT);admin.bundle.js;875;row "= Ventes nettes" = eur(a.ca_ttc) TTC · eur(a.ca_ht) HT (nets de remboursements). Voir S-028;All-time;payments moins refunds;-
S-035;TVA collectée (reversée à l'État) — ligne CR;admin.bundle.js;875;row = eur(a.tva_collectee). Serveur synthesize l.158,193,231 : tvaCollectee = somme (ttc-ht) par vente, moins rb.tva (part couverte par avoir uniquement, applyRefunds l.78);All-time;payments (taux TVA territorial) + refunds avec avoirRef;TVA remboursée n'est retranchée QUE si un avoir existe (avoirRef) — sinon reste due (voir S-057)
S-036;Chiffre d'affaires HT (ligne CR);admin.bundle.js;875;row "= Chiffre d'affaires HT" = eur(a.ca_ht). Voir S-028;All-time;payments moins refunds;-
S-037;Coût des marchandises vendues (COGS);admin.bundle.js;875;row = eur(a.cogs). Serveur synthesize l.159,194,234 : cogs = somme cogsHtCents/100 par vente, moins rb.cogsAnnule;All-time;payments (cogsHtCents snapshoté par le webhook) + refunds (cogsAnnuleHt);complet=false si au moins une vente sans coût snapshoté (cogsConnu l.161) — avertissement affiché l.914-916
S-038;Frais de vente Revolut (commission);admin.bundle.js;875;row = eur(a.frais_encaissement != null ? a.frais_encaissement : a.frais_stripe). Serveur synthesize l.160,195,236 : commission = somme stripeFeeCents/100 moins rb.commissionRendueTot;All-time;payments (stripeFeeCents, nom hérité = commission réelle) + refunds (commissionRendue);Champ serveur dupliqué frais_encaissement et alias hérité frais_stripe (même valeur, l.236-237)
S-039;Abonnement Revolut;admin.bundle.js;875;row = eur(a.abonnement_encaissement) avec détail "N mois × mensuel depuis AAAA-MM". Serveur synthesize l.198,241 via moisAbonnes l.118-140 : total = nb mois entamés × mensuel (cfg.abonnementMensuel), début = cfg.abonnementDebutMs ou 1er encaissement;Depuis le début d'abonnement jusqu'à maintenant (mois entamés);pricing-config (abonnementMensuel, abonnementDebutMs) + payments (recordedAtMs pour dériver le début);Charge fixe absente du journal payments (10 EUR/mois) reconstituée , 0 mois si aucune donnée réelle
S-040;Charges saisies;admin.bundle.js;875;row = eur(a.charges_saisies). Serveur synthesize l.179,243 : chargesTotal = somme amountHt de toutes les charges;All-time;Firestore charges (amountHt) saisies par l'exploitant;-
S-041;Résultat d'exploitation;admin.bundle.js;875;row = eur(a.resultat_exploitation). Serveur synthesize l.203,245 : resultatExpl = margeBrute - commission - abo.total - chargesTotal;All-time;payments + charges + refunds + pricing-config;-
S-042;Dons mécénat (réintégrés fiscalement);admin.bundle.js;875;row conditionnel si a.mecenat.dons>0 = eur(a.mecenat.dons). Serveur synthesize l.180,274 : dons = somme amountHt des charges catégorie don/dons/mécénat;All-time;Firestore charges catégorie don/mécénat;-
S-043;Réduction d'IS mécénat (60%);admin.bundle.js;875;row = eur(a.mecenat.reduction_is) + éventuel report 5 ans. Serveur synthesize l.206-209,277 : reductionMecenat = 0.6*min(dons, max(20000, 0.5% du caHt));All-time;charges (dons) + caHt;-
S-044;Impôt sur les sociétés (IS);admin.bundle.js;875;row = eur(a.is). Serveur synthesize l.209,246 : is = max(0, computeIS(baseIS) - reductionMecenat) , baseIS=resultatExpl+dons , computeIS l.30-37 : 15% jusqu'à 42500 EUR puis 25%;All-time;payments + charges + refunds + pricing-config (isSeuil, isReduit, isNormal);-
S-045;RÉSULTAT NET (+ marge nette %);admin.bundle.js;875;row = eur(a.resultat_net) + "(a.marge_nette_pct %)". Serveur synthesize l.210,247-248 : resultat_net=resultatExpl-is , marge_nette_pct = caHt>0 ? round2(resultatNet/caHt*100) : 0;All-time;payments + charges + refunds + pricing-config;-
S-046;TVA collectée sur tes ventes;admin.bundle.js;879;row table TVA = eur(tva.collectee). Serveur synthesize l.272 : tva.collectee = tvaCollectee (nette des avoirs);All-time;payments + refunds (avoirRef);Valeur identique à S-035 (même champ tvaCollectee)
S-047;TVA déductible (sur charges);admin.bundle.js;879;row = eur(tva.deductible). Serveur synthesize l.181,272 : tvaDeductible = somme des c.tvaDeductible des charges;All-time;Firestore charges (tvaDeductible);-
S-048;Solde TVA à reverser / à récupérer;admin.bundle.js;879;row = si solde>=0 "À REVERSER" eur(solde) sinon "À RÉCUPÉRER" eur(-solde). solde = tva.solde_a_reverser = collectee - deductible (synthesize l.272);All-time;payments + charges + refunds;-
S-049;Par mois — Ventes;admin.bundle.js;887-888;Colonne Ventes = m.ventes. Serveur synthesize l.163-165,224 : ventes = nb de paiements succeeded du mois (byMonth[key].ventes);Par mois calendaire (clé AAAA-MM sur recordedAtMs);payments regroupés par monthKey(recordedAtMs);-
S-050;Par mois — CA TTC;admin.bundle.js;888;Colonne = eur(m.ca_ttc). Serveur synthesize l.221 : ca_ttc = byMonth.ca_ttc - remboursements du mois (r.ttc);Par mois;payments + refunds par mois;-
S-051;Par mois — Marge brute;admin.bundle.js;888;Colonne = eur(m.ca_ht - m.cogs), calcul CLIENT à partir des champs mensuels ca_ht et cogs (synthesize l.222-223);Par mois;payments + refunds par mois;Marge brute mensuelle recalculée côté client (ca_ht - cogs) et non fournie par le serveur
S-052;Ventes par marque — Unités;admin.bundle.js;900;Colonne Unités = b.unites. Serveur brandStats l.303,307,315 : somme des qty des lignes (linesDetail) portant une marque et unitCents>0;All-time;Firestore payments (linesDetail : brand, unitCents, qty) snapshoté à la vente;-
S-053;Ventes par marque — Ventes;admin.bundle.js;900;Colonne Ventes = b.ventes. Serveur brandStats l.310,312,316 : nb de paiements distincts contenant la marque;All-time;payments (linesDetail);-
S-054;Ventes par marque — CA TTC;admin.bundle.js;900;Colonne = eur(b.ca_ttc). Serveur brandStats l.305,308 : somme unitCents/100 × qty des lignes de la marque;All-time;payments (linesDetail unitCents TTC territorial);-
S-055;Ventes par marque — CA HT;admin.bundle.js;900;Colonne = eur(b.ca_ht). Serveur brandStats l.309 : somme ttc/(1+tva) des lignes de la marque (tva territoriale du paiement);All-time;payments (linesDetail) + taux TVA territorial;-
S-056;Objectif partenariat marque (%);admin.bundle.js;903-910;Barre + "val / target · pct %". pct = Math.min(100, Math.round(val/target*100)) calcul CLIENT , val=ca_ttc de la marque, target codé en dur client BRAND_TARGETS={DeWALT:10000} (l.893);All-time;payments (ventes_par_marque) + seuil codé en dur côté client;Seuil objectif (10 000 EUR DeWALT) codé en dur dans le bundle client (l.893), pas en configuration
S-057;Remboursements sans avoir (nb + TVA non récupérable);admin.bundle.js;881-882;Alerte si a.remboursements.sans_avoir>0 : "N remboursement(s) sans référence d'avoir" + eur(a.remboursements.tva_non_recuperable) de TVA restant due. Serveur synthesize l.269-270 via applyRefunds l.79 (nbSansAvoir, tvaSansAvoir);All-time;Firestore refunds sans champ avoirRef;-
S-058;Tester un prix — Prix conseillé + détail;admin.bundle.js;976;À la demande (bouton). r.ttc (prix TTC), r.priceHt, markup (r.markup*100), r.costHT, r.transport, r.octroiPaid, r.netAfterIS, r.marginAfterIS*100. Serveur type=price-preview (POST) à partir des saisies costTTC/weight/mode;Aucune (simulation ponctuelle);Saisie manuelle (coût, poids) + pricing-model + pricing-config;Sortie d'un calculateur ponctuel, pas une donnée agrégée
S-059;Reprise des prix (dry-run) — compteurs;admin.bundle.js;1044;À la demande. "N prix changeraient sur M produits, K ignorés". c.changed / c.total / c.skipped. Serveur type=reprice-all dryRun=true;Aucune (état courant du catalogue);catalog + product_overrides + pricing-config;-
S-060;Santé des prix — origines des coûts;admin.bundle.js;988;À la demande. Compteurs o.traqueur / o.fiche / o.variante / estimé (o['estimé']) / locked (counts.locked) / o.rupture. Serveur reprice-all champ origins/counts;Aucune;product_overrides + catalog (source de chaque coût : traqueur/fiche/variante/estimé);-
S-061;Mouvements de prix (total + baisses/hausses);admin.bundle.js;1089-1092;"N mouvement(s) sur J jours — B baisse(s), H hausse(s)". moves.length , baisses = moves.filter(nouveau<ancien).length , hausses = moves.length-baisses (calcul client). Serveur type=price-moves l.611-648;Fenêtre glissante 'jours' sélectionnée (défaut 30, param pmJours);Firestore journal des mouvements de prix (traqueur), champ at/nouveau/ancien;-
S-062;Mouvement — variation % (par produit);admin.bundle.js;1073;Ligne = m.variation %. Serveur api/admin.js l.642 : variation = Math.round((nouveau/ancien - 1)*1000)/10;Fenêtre 'jours';journal price-moves (traqueur);-
S-063;Factures émises — Montant par facture;admin.bundle.js;1258;Colonne Montant = ((f.amountCents||0)/100).toFixed(2) EUR. Serveur type=invoices l.792-799 : payments status succeeded, champ amountCents;All-time;Firestore payments (succeeded, amountCents, invoiceNumber);Aucun total agrégé des factures affiché (montants par ligne seulement)
S-064;Commandes récentes — Total par commande;admin.bundle.js;2207-2208;Par ligne : total = formatPrice(o.total) , when = date , statut. Serveur api/admin.js type=orders l.651-675 : collectionGroup('orders') orderBy date desc limit 50 , total = d.total sinon d.amount;50 dernières commandes (tous clients);Firestore collectionGroup orders (date, total/amount, status, customerEmail);Liste limitée à 50 , aucun compteur total de commandes affiché
