Section;Point;Statut;Commits;Preuve_executee;Reste
1-CONSTAT4;Dimensions og:image conformes au fichier reel;FAIT;0abd2d0;Mesure du jour : og:image:width declare 1024 = dimension LUE dans le WebP 1024x1024 (lecteur d'en-tete identique a p8-perf). Si illisible aucune declaration (asserte). Le 1200x630 en dur a disparu;Rien
2-CORRECTIF-a;FOUC — CSS critique dans le head + hydratation non destructive (D-115);FAIT;0abd2d0;Mesure du jour : le style #rendu-serveur precede le bloc dans le HTML (cssAvantBloc=true asserte + sabotage rouge). Le bloc serveur n'est plus retire au demarrage mais a la fin du premier onRouteChange disposant des produits (app.js) — plus d'ecran vide entre HTML serveur et premiere peinture;Le critere perceptuel (aucun flash) se constate sur ton iPad apres deploiement
2-CORRECTIF-b;Redirection 308 ish-ebon.vercel.app vers pirates-tools.com;FAIT cote depot;db4c7f2;vercel.json : redirection host-based permanent:true (=308) source /:path* destination https://pirates-tools.com/:path* — configuration verrouillee par check-render §7 avec 2 sabotages rouges (308 degrade en 307 refuse et chemin perdu refuse);Ta contre-mesure apres deploiement : curl -I https://ish-ebon.vercel.app/catalogue doit repondre 308 Location https://pirates-tools.com/catalogue
2-CORRECTIF-c;Warning Node.js Version Override;FAIT cote depot — geste dashboard restant;db4c7f2 (diagnostic consigne D-117);Mesure : package.json porte engines.node = 22.x (grep du jour). Le warning vient du reglage PROJET Vercel qui prime sur engines;Dashboard Vercel : Settings puis General puis Node.js Version = 22.x. Si les 2 recommandations persistent colle-moi leur texte
3-QUESTIONS;Q-01 Q-02 Q-03 passees TRANCHEE avec tes reponses;FAIT;db4c7f2;Fichier audit/questions_ouvertes.csv : 6 TRANCHEE 0 EN_ATTENTE (compte par script lors de la mise a jour). Lignes integralement collees dans ma reponse;Rien
4-EXTERNE;https://pirates-tools.com/produit/makita-dtw700z-boulonneuse-a-chocs-1-2-18v-lxt-700nm-machine-seule;A TESTER apres deploiement;-;Fiche REMPLIE attendue : 200 · 1 seule vue (chercher data-route= dans la source : 1 seule occurrence commencant par /) · aucun texte CGV · title et og:* et twitter:* identiques au produit · og:type=product · og:image:width=1024 · JSON-LD Product avec offers.price · PAS de meta robots noindex;Coller le HTML au test Rich Results de Google
4-EXTERNE;https://pirates-tools.com/produit/makita-dtd155zj-visseuse-chocs-18v-li-ion-lxt-;A TESTER apres deploiement;-;Fiche VIDE attendue : 200 · meta name=robots content=noindex-follow present dans la source;Rien d'autre
4-EXTERNE;https://pirates-tools.com/produit/ce-slug-n-existe-pas;A TESTER apres deploiement;-;Attendu : HTTP 404 (pas 200 ni redirection) · meta robots noindex · page lisible avec liens de sortie;Rien d'autre
4-EXTERNE;https://pirates-tools.com/catalogue;A TESTER apres deploiement;-;Attendu : 200 · 122 liens /produit/ dans la source · JSON-LD ItemList numberOfItems=122 · 1 seule vue;Rien d'autre
4-EXTERNE;https://pirates-tools.com/territoire/guadeloupe;A TESTER apres deploiement;-;Attendu : 200 · h1 contenant Guadeloupe · canonical = https://pirates-tools.com/territoire/guadeloupe sans aucun #;Idem pour martinique guyane reunion mayotte
4-EXTERNE;https://ish-ebon.vercel.app/catalogue;A TESTER apres deploiement;-;Attendu : 308 avec Location https://pirates-tools.com/catalogue (curl -I ou barre d'adresse qui bascule);Rien d'autre
4-EXTERNE;https://pirates-tools.com/cgv;A TESTER apres deploiement;-;Attendu : 200 · meta robots noindex-follow TANT QUE des champs A COMPLETER subsistent (D-114 — mesure du jour : cgv 12 marqueurs mentions 10 confidentialite 1). Levee automatique quand les champs seront remplis;Rien d'autre
5-ETAT;plan_correctifs_p0.csv (courses);SOLDE — 6 ordres;9f467c2 6137b48 9e1f9a2 2881403 61b54e4 8558efc;371 assertions cumulees sur 10 harnais + 8 sabotages rouges (detail dans audit/_progress.md);Rien
5-ETAT;plan_action_seo.csv ordres 0 1 2;SOLDES;dac8d62 6f7a8e3 b2e29fa 0abd2d0;Ordre 0 decisions D-019/D-020 gravees · ordre 1 chemins reels + vrai 404 (4 sabotages) · ordre 2 rendu complet (7 sabotages) — preuves dans audit/_progress.md;h1 unique a affiner (voir ligne 1-ORDRE2) et Rich Results externe
5-ETAT;TOP 3 suivant;EN COURS;-;1. ORDRE 3 : sitemap.xml genere depuis products.json (eligibles uniquement meme regle que le noindex) branche en CI avec porte. 2. ORDRE 4 : pages territoire enrichies (contenu unique par ile). 3. ORDRE 5 : OnlineStore + areaServed sans adresse (D-019) + h1 unique complete;Puis ordres 8-11 (cache immutable poids du boot images maillage pagination) et ordre 7 en continu avec tes envois de fiches
