ID;Fichier;Lignes;Categorie;Severite;Constat;Preuve;Recommandation;Impact_SEO;Effort
SEO-011;vercel.json;1-30;perf;P1;Aucune regle Cache-Control : images (63,47 Mo), modeles 3D (91 Mo), app.js repayes a chaque visite;grep Cache-Control vercel.json -> 0 resultat + mesure node : 350 images 63,47 Mo + du -sh models/products 91M;Ajouter des en-tetes immutable (max-age=31536000) sur /images/*, /models/*, /icons/* et les assets versionnes ?v=;3;S
SEO-012;products.json;-;perf;P1;1733 Ko bruts (160 Ko gzip) charges au boot pour TOUTE page : pese sur le LCP de chaque visite;p8-perf : products.json 1733 Ko brut -> 160 Ko gzip (repere 65);Scinder : liste legere pour la grille (titre, prix, image) et fiche complete a la demande;3;M
SEO-013;app.js;-;perf;P2;Bundle unique de 861 Ko brut (249 Ko gzip) : texte total a froid 511 Ko compresses, au-dessus du repere 400 Ko du projet;p8-perf : app.js 861 Ko brut, total 511,0 Ko compresses (repere 400);Sortir l'administration d'app.js en module charge a la demande — jamais utile a un visiteur;2;M
SEO-014;images/posters;-;perf;P1;300 posters sur 310 sous 1674 px : flous sur iPad (rendu degrade), deja trace en D-61;p8-perf P8.6 : definition des posters 10/310 assez definis (1674 px);Refaire les posters en 2000 px au fil des envois (procedure poser-visuel.mjs en place);2;L
SEO-015;app.js;gabarits;perf;P2;Aucune balise img des gabarits ne porte width/height : decalages de mise en page (CLS) sur les grilles;grep -oE '<img [^>]*>' app.js pipe grep -c width= -> 0;Ajouter width/height ou aspect-ratio CSS sur les vignettes produit et le heros;2;S
SEO-016;app.js;16742;metas;P2;og:url mis a jour avec location.href : diffuse des URL a dieze lors des partages;ligne 16742 setHeadMeta('og:url', location.href, 'property');Basculera automatiquement avec les chemins reels — d'ici la, normaliser vers l'URL canonique;2;S
SEO-017;sw.js;-;pwa;P3;Service worker et manifest corrects pour l'indexation (pas d'interception /api, pas de redirection en dernier recours) — aucun blocage;p8-perf : /api/* jamais intercepte + repli present + 9 fichiers du precache existants;Rien a faire — BON niveau;1;S
SEO-018;index.html;2350-2354;rendu-urls;P2;noscript present mais generique : un robot sans JS ne voit ni produits ni liens;grep -n noscript index.html -> 2350;Disparait avec le rendu serveur — sinon enrichir le noscript de liens vers les pages reelles;2;S
SEO-019;robots.txt;1-5;rendu-urls;P3;robots.txt correct (Allow / , Disallow /api/ , Sitemap declare) mais pointe vers un sitemap d'une seule URL;cat robots.txt;Aucune modification du fichier — la valeur vient du sitemap regenere (SEO-002);1;S
SEO-020;EXTERNE;-;seo-local;P0;Hors code, non verifiable depuis le depot : Google Business Profile (zone Guadeloupe), Search Console (soumission du sitemap), backlinks locaux (annuaires 971, artisans partenaires), avis clients;curl production -> 403 (proxy egress) : indexation reelle non mesurable d'ici;Creer/verifier GBP, declarer le sitemap en Search Console, obtenir des liens locaux — actions de Killian, hors depot;5;M
SEO-021;app.js;16322-16367;metas;P2;JSON-LD Product complet (Offer, prix, livraison DOM) MAIS injecte apres execution JS sous une URL non indexable : valeur actuelle nulle pour les moteurs;lignes 16322-16367 injectProductJsonLd;Reutiliser tel quel dans le HTML rendu serveur — le code est bon, c'est son support qui manque;4;S
SEO-022;app.js;2280-2288;metas;P2;Title et description par produit via setDocMeta : bon code, meme limite (JS + dieze);ligne 2280 setDocMeta( + definition ligne 16489;Reutiliser dans le rendu serveur;4;S
SEO-023;index.html;33-41;perf;P2;Chaine critique du boot : firebase-init (module gstatic ~500 Ko d'apres le commentaire du fichier) + app.js + products.json avant tout rendu produit;lignes 33-41 preconnect gstatic + commentaire;Le rendu serveur affranchit le premier paint des robots ET des visiteurs de cette chaine;3;M
SEO-024;products.json;-;contenu;P2;44 produits partagent leur phrase de description avec un autre (contenu duplique inter-fiches);mesure node du 08/08 : desc partagee par 2+ produits -> 44;Dedupliquer au fil de D-54;2;M
SEO-025;EXTERNE;-;rendu-urls;P1;Redirections domaine (www vs apex, http vers https, trailing slash) non verifiables depuis le depot (proxy bloque la production);curl -sI https://pirates-tools.com -> HTTP 403 Forbidden (proxy egress);Verifier depuis un navigateur : une seule forme canonique du domaine repond 200, les autres 301;3;S
SEO-026;app.js;16745;code-verifie;P0;Le canonical des pages territoire contient un fragment, que Google ignore : les 5 landings se canonicalisent toutes vers la page d'accueil.;extrait verifie a la ligne 16745 : setCanonical(location.origin + location.pathname + '#/' + slug),;Servir des chemins réels (/guadeloupe) par rewrite Vercel + prerender, et n'émettre un canonical que sur une URL sans '#'.;5;M
SEO-027;app.js;8422;code-verifie;P0;Toute route inconnue retombe silencieusement sur l'accueil sans statut 404 ni noindex, ce qui fabrique des duplicatas d'accueil à l'infini.;extrait verifie a la ligne 8422 : if (ROUTES.indexOf(hash) === -1) return { route: '/', slug: null },;Ajouter une route '/404' rendant une vue dédiée avec meta robots noindex plutôt que de rediriger vers '/'.;5;M
SEO-028;app.js;16777;code-verifie;P0;La branche produit d'updateRouteMeta ne fait rien : canonical, og:url, og:title et og:description restent ceux de la route précédemment visitée.;extrait verifie a la ligne 16777 : case '/produit':;Appeler setCanonical + setHeadMeta OG/Twitter dans renderPDP avec les données du produit.;5;M
SEO-029;app.js;2280;code-verifie;P1;renderPDP pose seulement title et description , aucun og:image produit n'est jamais émis, donc tout partage social affiche l'image générique du site.;extrait verifie a la ligne 2280 : setDocMeta(;Ajouter setHeadMeta('og:image', new URL(product.img, location.href).href, 'property') dans renderPDP.;4;M
SEO-030;app.js;16489;code-verifie;P2;setDocMeta n'écrit la description que si la balise meta existe déjà , si elle disparaît du HTML, la description est perdue sans erreur.;extrait verifie a la ligne 16489 : function setDocMeta(title, desc) {;Créer la balise meta[name=description] quand elle est absente, comme le fait déjà setHeadMeta.;2;M
SEO-031;app.js;1463;code-verifie;P1;La pagination du catalogue est faite de <button> sans href : aucun crawler ne peut atteindre les pages 2 à N.;extrait verifie a la ligne 1463 : var html = '<button class="pager__btn pager__nav" data-page="prev"';Rendre les numéros de page en <a href="#/catalogue/p2"> et lire le numéro depuis le hash.;4;M
SEO-032;app.js;1500;code-verifie;P1;Seuls 40 produits sont présents dans le DOM à un instant donné et l'état de page vit dans _gridPage, hors URL : les autres fiches n'ont aucun lien entrant interne.;extrait verifie a la ligne 1500 : dom.list.innerHTML = pageItems.map(function (p) { return productCardHTML(p), }).;Refléter _gridPage dans le hash et émettre des liens <a> vers chaque page pour construire un maillage interne.;4;M
SEO-033;app.js;1817;code-verifie;P1;Les 7 marques et le bloc « Livraison quincaillerie » de l'accueil sont des <button> pilotés en JS, donc zéro lien interne vers le catalogue filtré.;extrait verifie a la ligne 1817 : return '<button class="brand-card" data-brand="' + escapeHTML(b) + '" style="ani;Remplacer par des <a href="#/catalogue/marque/dewalt"> et laisser le routeur appliquer le filtre.;4;M
SEO-034;app.js;16417;code-verifie;P2;Le JSON-LD ItemList est plafonné à 50 items alors que le catalogue en compte beaucoup plus, et numberOfItems annonce le total : incohérence déclarée.;extrait verifie a la ligne 16417 : var items = products.slice(0, 50).map(function (p, i) {;Aligner numberOfItems sur items.length ou paginer l'ItemList sur la page affichée.;2;M
SEO-035;app.js;16335;code-verifie;P2;Le JSON-LD Product ne déclare qu'une image alors que visuelsDe() en connaît plusieurs, et un tableau vide est émis quand img manque.;extrait verifie a la ligne 16335 : 'image': product.img ? [new URL(product.img, location.href).href] : [],;Alimenter le tableau depuis visuelsDe(product) et omettre la clé si la liste est vide.;2;M
SEO-036;app.js;16343;code-verifie;P3;priceValidUntil est recalculé à chaque rendu à J+30, donc la date glisse en permanence et ne correspond à aucun engagement réel.;extrait verifie a la ligne 16343 : 'priceValidUntil': new Date(Date.now() + 30 * 86400000).toISOString().slice(0, 1;Dériver la date d'une donnée catalogue (fin de promo, date de mise à jour) plutôt que de l'heure courante.;2;M
SEO-037;app.js;16769;code-verifie;P2;La description du catalogue interpole products.length, qui vaut 0 au premier passage du routeur avant l'arrivée du JSON : « 0 produits » peut être servi au crawler.;extrait verifie a la ligne 16769 : setDocMeta('Catalogue — ' + BASE_TITLE,;Ne composer cette description qu'une fois products non vide, sinon retomber sur BASE_DESC.;2;M
SEO-038;app.js;2619;code-verifie;P3;Le bloc « Produits similaires » ouvre un h3 sans h2 parent, ce qui casse la hiérarchie de titres de la fiche produit.;extrait verifie a la ligne 2619 : dom.pdpRelated.innerHTML = '<h3>Produits similaires</h3><div class="related-grid;Passer ce titre en h2 et vérifier l'ordre h1>h2>h3 de la vue produit.;2;M
SEO-039;app.js;8479;code-verifie;P2;Les 22 vues (et leurs 22 h1) restent dans le DOM en permanence, masquées par un style inline : la source HTML contient 22 h1 concurrents.;extrait verifie a la ligne 8479 : v.style.display = match ? '' : 'none',;Retirer du DOM les vues inactives, ou au minimum n'en garder qu'un h1 réel et convertir les autres en h2 des sections.;2;M
SEO-040;app.js;16466;code-verifie;P3;La description Organization duplique quasi mot pour mot BASE_DESC (l.16487) : deux copies à maintenir en parallèle.;extrait verifie a la ligne 16466 : 'description': 'Outillage professionnel DeWALT, Makita, Festool, Flex, Facom, St;Faire dériver la description du JSON-LD de la constante BASE_DESC.;2;M
SEO-041;app.js;805;code-verifie;P3;L'état de stock affiché sur les cartes et le JSON-LD (ldAvailability, l.16373) dérivent de champs différents du produit sans source unique déclarée.;extrait verifie a la ligne 805 : function stockBadge(p) {;Faire lire au badge et au JSON-LD la même fonction de normalisation du statut de stock.;2;M
