ID;Fichier;Lignes;Niveau;Constat;Preuve;Action_proposee;Priorite
CODE-023;app.js;6054;MOYEN;L'attente de l'auth est un sondage à 60 ms sans plafond : si _authReady ne bascule jamais, la promesse ne se résout jamais et le timer tourne indéfiniment.;extrait verifie ligne 6054 : var t = setInterval(function () { if (_authReady) { clearInterval(t), resolve(),;S'abonner à l'événement 'pt-firebase-ready' déjà émis en l.8854 et poser un délai de garde qui rejette.;P2
CODE-024;app.js;2636;BAS;Les avis produit vivent uniquement en localStorage : ils ne sont visibles que de leur auteur, ne peuvent pas alimenter d'aggregateRating et donnent une fausse impression de preuve sociale.;extrait verifie ligne 2636 : var REVIEWS_KEY = 'pt_reviews',;Persister les avis côté serveur ou retirer le formulaire tant qu'il n'écrit nulle part.;P1
CODE-025;app.js;16234;BON;Les trois libellés du bouton favori (aria-label, title, état) sont recopiés à l'identique dans wishlistButton et updateWishlistUI (l.16224).;extrait verifie ligne 16234 : + 'aria-label="' + (active ? 'Retirer des favoris' : 'Ajouter aux favoris') + '";Extraire une fonction libelleFavori(active) partagée par les deux chemins.;P3
CODE-026;app.js;928;MOYEN;Les vignettes de carte produit n'ont ni width ni height ni sizes, contrairement aux images admin (l.13600) : décalage de mise en page à chaque chargement de grille.;extrait verifie ligne 928 : return '<img src="' + imgSrc + '" alt="' + alt + '" loading="lazy" fetchpriority;Poser width/height intrinsèques et un attribut sizes sur l'image de carte.;P2
CODE-027;app.js;9915;MOYEN;La suppression d'une ligne panier est différée de 300 ms en capturant un index : deux clics rapides sur des lignes différentes suppriment la mauvaise ligne.;extrait verifie ligne 9915 : setTimeout(function () { removeFromCart(i), renderDevis(), }, 300),;Capturer la clé de l'article plutôt que son index, et supprimer par clé.;P2
CODE-028;app.js;10673;BON;Chemin d'image du prestataire de paiement codé en dur dans le JS alors que BRAND_IMAGES (l.1514) centralise déjà ce type de constante.;extrait verifie ligne 10673 : return '<img class="pay-modal__provider-logo" src="images/brands/revolut.webp"';Déplacer ce chemin dans une table de constantes en tête de module.;P3
CODE-029;styles.css;7391;BAS;Bloc de surcharge tardif qui redéfinit les jetons :root déjà posés en l.1 et l.40 — deux sources de vérité pour les mêmes variables.;extrait verifie ligne 7391 : :root{ --safe-top:70px, --dock-bottom:14px, };Fusionner ces déclarations dans le :root de tête et supprimer le doublon.;P1
CODE-030;styles.css;7452;MOYEN;.sr-only est défini deux fois (l.3999 puis ici) avec des valeurs de clip divergentes, rect(0,0,0,0) contre rect(0,0,0,1px).;extrait verifie ligne 7452 : .sr-only{ position:absolute !important, width:1px, height:1px, padding:0, margin;Ne garder qu'une définition de .sr-only, sans !important.;P2
CODE-031;styles.css;7471;BAS;Règle strictement identique à la l.3967, doublée par [hidden],.hidden en l.44 : trois écritures de la même intention.;extrait verifie ligne 7471 : .view.hidden{ display:none !important, };Supprimer les deux répétitions et conserver la seule règle de tête.;P3
CODE-032;styles.css;533;MOYEN;Le bloc body.page-catalogue/#devis/#compte/#produit/#auth masquant le héros est entièrement couvert par body:not(.page-home) juste au-dessus (l.524) : sélecteur mort.;extrait verifie ligne 533 : display: none !important,;Supprimer ce second bloc, redondant avec la règle :not(.page-home).;P2
CODE-033;styles.css;4045;MOYEN;Neutralisation d'animation pour prefers-reduced-motion sur un sélecteur qui ne déclare aucune animation (l.3904 et l.3911 ne posent que fond et position).;extrait verifie ligne 4045 : .dock__btn--cart { animation: none, };Retirer cette ligne ou la reporter sur #dock.dock--pulse, qui porte réellement l'animation.;P3
CODE-034;styles.css;6021;BAS;La classe is-est n'apparaît dans aucun fichier servi (ni app.js, ni index.html, ni concaténation) : règle morte.;extrait verifie ligne 6021 : #comptaPrintable .compta-tag2.is-est { color: #b45309 !important, };Supprimer cette règle après confirmation qu'aucun gabarit d'impression ne la construit.;P3
CODE-035;styles.css;2347;MOYEN;.tools-banner est déclarée deux fois (l.2201 puis ici) à 146 lignes d'écart, la seconde n'ajoutant qu'une marge basse.;extrait verifie ligne 2347 : .tools-banner {;Fusionner la marge dans le bloc d'origine.;P3
CODE-036;styles.css;7415;MOYEN;.chip est redéfini ici alors qu'il existe déjà en l.3840, et .chips n'est référencé nulle part dans app.js ni index.html.;extrait verifie ligne 7415 : .chips{ display:flex, flex-wrap:wrap, gap:.4rem, };Supprimer .chips et fusionner .chip avec la déclaration de la l.3840.;P3
CODE-037;styles.css;44;MOYEN;76 occurrences de !important au total, dont des blocs entiers de guerre de cascade (l.305-315, l.490-496, l.922-924) que les commentaires du fichier documentent comme des correctifs de doublons.;extrait verifie ligne 44 : [hidden], .hidden { display: none !important, };Réduire la spécificité par une couche @layer ou des classes d'état, et retirer les !important devenus inutiles.;P2
CODE-038;styles.css;6007;MOYEN;Sélecteur universel avec !important dans la feuille d'impression : il traverse tout le document et coûte cher à recalculer sur un DOM de 22 vues.;extrait verifie ligne 6007 : body * { visibility: hidden !important, };Restreindre au conteneur imprimable plutôt que de masquer body * puis de tout réafficher.;P2
CODE-039;styles.css;8766;BON;Classe construite par concaténation en app.js l.14657 ('ap-msg--' + type) : invisible à toute purge naïve, à protéger explicitement.;extrait verifie ligne 8766 : .ap-msg--ok { color: var(--success, #4ade80), font-weight: 600, };Documenter ap-msg--* dans la liste des classes concaténées à ne pas purger.;P3
CODE-040;api/_lib/http.js;12;BON;Le CORS est en refus par défaut et n'autorise que les origines explicitement listées dans ALLOWED_ORIGINS, avec Vary: Origin.;extrait verifie ligne 12 : function allowedOrigins() {;Garder ce module comme unique porte CORS et vérifier en CI qu'aucun endpoint ne pose d'en-tête Access-Control-* lui-même.;P3
CODE-041;api/_lib/http.js;23;MOYEN;allowedOrigins() re-découpe et re-trim la variable d'environnement à chaque requête au lieu de mémoriser la liste.;extrait verifie ligne 23 : if (allowedOrigins().indexOf(origin) === -1) return,;Calculer la liste une fois au chargement du module et la réutiliser.;P3
CODE-042;api/_lib/auth.js;16;BON;La comparaison de secret est à temps constant et neutralise la fuite de longueur par une comparaison factice.;extrait verifie ligne 16 : function timingSafeEqualStr(a, b) {;Conserver et faire passer toute nouvelle vérification de secret par cette fonction.;P3
CODE-043;api/_lib/auth.js;109;MOYEN;requireWatch retombe encore sur ADMIN_SECRET/x-admin-secret, ce qui rouvre le secret partagé rejouable que A5 avait retiré.;extrait verifie ligne 109 : var legacy = process.env.ADMIN_SECRET,;Supprimer ce repli une fois WATCH_SECRET confirmé posé sur Vercel.;P2
CODE-044;api/_lib/ratelimit.js;26;BON;L'IP est hachée avant de servir d'identifiant de document, avec expiresAt pour la purge TTL.;extrait verifie ligne 26 : var keyHash = crypto.createHash('sha256').update(String(key)).digest('hex').slic;Rien à changer , s'assurer que la policy TTL Firestore sur expiresAt est bien déployée.;P3
CODE-045;api/_lib/ratelimit.js;40;MOYEN;Le limiteur échoue en OUVERT, y compris pour le seau 'payment' de create-payment-intent : une panne Firestore lève tous les plafonds anti-abus.;extrait verifie ligne 40 : return true, // fail open on transient error;Distinguer les seaux non critiques (contact, events) qui peuvent échouer ouverts des seaux d'argent qui devraient échouer fermés.;P2
CODE-046;api/_lib/ratelimit.js;19;MOYEN;Fenêtre FIXE : un client peut consommer 2×max en chevauchant la frontière de fenêtre.;extrait verifie ligne 19 : var win = Math.floor(Date.now() / (windowSec * 1000)),;Documenter la limite ou passer à une fenêtre glissante si un abus réel est constaté.;P3
CODE-047;api/_lib/firebase.js;13;BON;Initialisation Firebase unique et mise en cache, avec dégradation propre en { admin: null, db: null } au lieu d'un crash.;extrait verifie ligne 13 : function getFirebase() {;Conserver comme seul point d'initialisation.;P3
CODE-048;api/_lib/firebase.js;14;MOYEN;Après un échec d'init, _db reste null : chaque appel refait require + JSON.parse du compte de service (~2300 caractères) et re-log l'erreur.;extrait verifie ligne 14 : if (_db) return { admin: _admin, db: _db },;Mémoriser aussi l'échec (drapeau _initTente) pour ne tenter l'initialisation qu'une fois par instance.;P3
CODE-049;api/_lib/postal.js;26;BON;Module pur, court, avec table explicite et retour null assumé pour tout code postal hors DOM desservis.;extrait verifie ligne 26 : function territoryFromPostal(postalCode) {;Rien à changer.;P3
CODE-050;api/_lib/loyalty.js;39;MOYEN;Chaque devis de remise relit TOUS les paiements réussis de l'uid sans limite ni agrégat, sur le chemin synchrone du paiement.;extrait verifie ligne 39 : var snap = await db.collection('payments');Utiliser une agrégation .sum()/.count() ou maintenir un compteur de dépense cumulée par utilisateur.;P2
CODE-051;api/_lib/loyalty.js;52;BON;Fail-open à 0 % documenté et implémenté : un incident de fidélité ne bloque jamais un paiement légitime.;extrait verifie ligne 52 : async function quote(db, uid, totalCents) {;Rien à changer.;P3
CODE-052;api/_lib/paiement-meta.js;19;BON;Sérialisation/désérialisation des lignes en tranches bornées, avec garde-fou MAX_CHUNKS et retour null explicite plutôt qu'une troncature silencieuse.;extrait verifie ligne 19 : function chunkItems(items) {;Rien à changer côté module , c'est l'appelant qui doit traiter le null (voir create-payment-intent.js).;P3
CODE-053;api/_lib/traqueur-plans.js;33;BON;Fichier de données pur, chaque champ est daté et sourcé, et ce qui est supposé est explicitement marqué par `aVerifier`.;extrait verifie ligne 33 : 'DEWALT@idealo': {;Rien à changer.;P3
CODE-054;api/_lib/barriere-achat.js;51;BON;Fonction pure, seuils centralisés et documentés, et l'ignorance (null) ne déclenche jamais de refus.;extrait verifie ligne 51 : function delaiEnJours(texte) {;Rien à changer.;P3
CODE-055;api/_lib/diag-rafale.js;38;BON;Fonction pure sans horloge ni réseau, avec une marge de tolérance explicite et un cas 'indecis' qui refuse de trancher.;extrait verifie ligne 38 : function expliquerRafale(o) {;Rien à changer.;P3
CODE-056;api/_lib/invoice.js;32;BON;Module de facturation pur, sans I/O, séparant clairement le calcul (buildInvoice) du rendu (renderHtml).;extrait verifie ligne 32 : function buildInvoice(payment, seller) {;Rien à changer.;P3
CODE-057;api/_lib/invoice.js;16;MOYEN;Le formatage monétaire dépend de la disponibilité d'ICU pour fr-FR , sur un runtime small-icu la facture affiche « 1,234.56 € » au lieu de « 1 234,56 € ».;extrait verifie ligne 16 : function eur(n) { return round2(n).toLocaleString('fr-FR', { minimumFractionDigi;Formater les montants à la main (séparateur d'espace + virgule) plutôt que via toLocaleString.;P2
CODE-058;api/_lib/invoice.js;78;MOYEN;logoUrl est échappé pour HTML puis injecté dans un contexte CSS `url(...)` , esc() ne neutralise ni la parenthèse fermante ni un `javascript:`.;extrait verifie ligne 78 : var logoUrl = esc(s.logoUrl || '/images/pirates-tools-logo.png'),;Valider seller.logoUrl contre une allowlist (chemin relatif du site ou https://) avant de l'injecter dans le style.;P2
CODE-059;api/products.js;22;BON;Le catalogue public sort avec son drapeau prixConfirmes, ce qui permet au client de ne pas mettre en cache des prix non fiables.;extrait verifie ligne 22 : var etatCat = await catalog.loadPublicCatalogEtat(),;Rien à changer.;P3
CODE-060;api/products.js;53;MOYEN;Aucun en-tête Cache-Control ni ETag sur l'endpoint catalogue public : chaque visiteur déclenche la lecture complète des overrides côté serveur.;extrait verifie ligne 53 : return res.status(200).json({;Poser un Cache-Control s-maxage court (30-60 s) avec stale-while-revalidate quand prixConfirmes est vrai.;P2
CODE-061;api/products.js;11;MOYEN;Contrairement aux autres endpoints, products.js n'appelle pas http.applyCors : le préflight répond 204 sans en-tête CORS, donc une origine pourtant allowlistée est bloquée.;extrait verifie ligne 11 : if (req.method === 'OPTIONS') return res.status(204).end(),;Ajouter http.applyCors(req, res, 'GET, OPTIONS') en tête du handler.;P3
CODE-062;api/health.js;39;BON;Le diagnostic d'intégrité ne rend que des booléens, une longueur et une POSITION d'erreur, jamais un fragment de la clé privée.;extrait verifie ligne 39 : function firebaseIntegrity() {;Rien à changer , garder les deux fonctions exportées pour les contrôles de sabotage.;P3
CODE-063;api/health.js;80;MOYEN;L'endpoint est PUBLIC et sans authentification alors qu'il énumère la configuration complète du service (quels secrets sont posés, longueur du compte de service, commit déployé).;extrait verifie ligne 80 : return res.status(200).json({;Réduire la réponse publique à { ok, service, timestamp } et placer le détail env/firebaseCheck derrière requireAdmin.;P2
CODE-064;api/health.js;99;BAS;La réponse publique indique si la voie secret partagé rejouable est encore ouverte, information directement exploitable pour choisir un angle d'attaque.;extrait verifie ligne 99 : adminSecret: !!process.env.ADMIN_SECRET,;Retirer ce booléen de la réponse publique.;P2
CODE-065;api/health.js;79;MOYEN;Aucun contrôle de méthode ni applyCors : un POST ou un DELETE sur /api/health répond 200 avec la même charge utile.;extrait verifie ligne 79 : module.exports = function handler(req, res) {;Refuser tout ce qui n'est pas GET/HEAD et appliquer applyCors comme les autres endpoints.;P3
CODE-066;api/events.js;46;BON;Les robots sont écartés AVANT toute écriture et même avant la consommation du compteur anti-abus, ce qui protège le quota Firestore.;extrait verifie ligne 46 : if (A.isBot(req.headers && (req.headers['user-agent'] || req.headers['User-Agent;Rien à changer.;P3
CODE-067;api/events.js;98;MOYEN;Les documents visiteurs sont traités par transactions séquentielles dans une boucle await, en plus du batch : latence cumulée sur un lot.;extrait verifie ligne 98 : await fb.db.runTransaction(async function (tx) {;Grouper ces transactions en parallèle (Promise.all) puisqu'elles portent sur des documents distincts.;P3
CODE-068;api/events.js;52;MOYEN;Plafond 60/min par IP sur un endpoint public d'écriture Firestore, avec fail-open : une panne du limiteur ouvre l'ingestion sans borne.;extrait verifie ligne 52 : if (!(await rl.allow('events', rl.clientIp(req), 60, 60))) {;Ajouter un plafond secondaire par lot/octets ou refuser quand le limiteur est indisponible sur cet endpoint d'écriture.;P3
CODE-069;api/newsletter.js;26;BON;Honeypot, plafond 5/h/IP, validation d'email et de longueur avant tout appel Resend.;extrait verifie ligne 26 : if (!(await rl.allow('newsletter', rl.clientIp(req), 5, 3600))) {;Rien à changer.;P3
CODE-070;api/newsletter.js;9;MOYEN;Seul endpoint à n'importer ni _lib/http ni applyCors, et le seul en style const/let alors que le reste du dossier est en var/'use strict'.;extrait verifie ligne 9 : module.exports = async function handler(req, res) {;Aligner sur les autres endpoints : appliquer applyCors et harmoniser le style.;P3
CODE-071;api/newsletter.js;90;MOYEN;L'email visiteur alimente reply_to et le sujet du mail envoyé au propriétaire , la validation regex est permissive sur les caractères de contrôle en amont du trim.;extrait verifie ligne 90 : reply_to: email,;Restreindre l'email à un motif strict sans espaces ni retours à la ligne avant de le placer dans un en-tête de message.;P3
CODE-072;api/test-email.js;19;BON;L'endpoint de test est correctement gardé par requireAdmin avant toute lecture d'environnement ou appel réseau.;extrait verifie ligne 19 : const denied = await auth.requireAdmin(req),;Rien à changer.;P3
CODE-073;api/test-email.js;88;MOYEN;Le message d'exception brut est renvoyé au client, contrairement à la règle appliquée partout ailleurs (message générique + log serveur).;extrait verifie ligne 88 : return res.status(500).json({ ok: false, error: err.message }),;Journaliser err.message et répondre un message fixe.;P2
CODE-074;api/test-email.js;83;MOYEN;Le code de statut et le message du fournisseur Resend sont relayés tels quels au client au lieu d'être traduits en une erreur maison.;extrait verifie ligne 83 : return res.status(r.status).json({ ok: false, error: msg }),;Répondre 502 avec un message stable et garder le détail dans les journaux.;P3
CODE-075;api/cron-report.js;60;MOYEN;CRON_SECRET est comparé avec === (temps non constant) alors que auth.timingSafeEqualStr existe et est utilisé partout ailleurs.;extrait verifie ligne 60 : var cronOk = !!cronSecret && authz === 'Bearer ' + cronSecret,;Passer cette comparaison par auth.timingSafeEqualStr.;P2
CODE-076;api/cron-report.js;82;MOYEN;Quatre collections analytics sont lues INTÉGRALEMENT et séquentiellement à chaque exécution, y compris analytics_products qui grossit avec le catalogue.;extrait verifie ligne 82 : var daily = await readAll('analytics_daily'),;Paralléliser les quatre lectures et borner analytics_products/analytics_clicks par une limite explicite.;P2
CODE-077;api/cron-report.js;44;BON;La purge de rétention supprime par lots de 400, sous le plafond Firestore de 500 opérations par batch.;extrait verifie ligne 44 : async function deleteSnapshot(db, snap) {;Rien à changer.;P3
CODE-078;api/instagram.js;113;BAS;Le jeton Meta longue durée (60 jours) est renvoyé en clair dans une réponse HTTP, donc exposé au cache navigateur, à l'historique et aux copies d'écran.;extrait verifie ligne 113 : access_token: data.access_token;Ne rendre que expires_in et un aperçu masqué, et faire récupérer le jeton par un canal hors bande.;P1
CODE-079;api/instagram.js;236;MOYEN;Les messages d'erreur bruts de l'API Graph remontent au client, y compris les libellés contenant des identifiants de page ou de compte.;extrait verifie ligne 236 : return res.status(500).json({ ok: false, error: err.message || 'Internal error' ;Journaliser le détail et renvoyer un message générique.;P2
CODE-080;api/instagram.js;149;MOYEN;media_id, comment_id et creation_id sont concaténés dans le chemin Graph sans validation ni encodage : une valeur contenant / ou ? change la ressource appelée.;extrait verifie ligne 149 : var comments = await graphGet('/' + mediaId + '/comments', {;Valider ces identifiants contre /^[0-9_]{1,32}$/ et les passer par encodeURIComponent.;P2
CODE-081;api/instagram.js;132;MOYEN;`var ig` est redéclaré cinq fois et `var body` trois fois dans la même portée de fonction, ce qui masque toute erreur de flux entre les actions.;extrait verifie ligne 132 : var ig = await getIgUserId(),;Extraire chaque action dans sa propre fonction ou passer en const par bloc.;P3
CODE-082;api/instagram.js;133;MOYEN;Le paramètre limit n'est pas borné : ?limit=100000 est transmis tel quel à l'API Graph.;extrait verifie ligne 133 : var limit = parseInt(req.query && req.query.limit, 10) || 25,;Plafonner à une valeur raisonnable (par exemple 100).;P3
CODE-083;api/create-payment-intent.js;154;BON;Le paiement est refusé quand les prix ne sont pas confirmés, ce qui ferme la faille de vente à des prix statiques périmés (jusqu'à −70 %).;extrait verifie ligne 154 : var etatCatalogue = await catalog.loadCatalogEtat(),;Rien à changer , garder ce garde-fou sur tout nouveau chemin d'argent.;P3
CODE-084;api/create-payment-intent.js;248;MOYEN;Quand chunkItems rend null (lignes trop volumineuses), le paiement part SANS métadonnées de lignes : le webhook ne pourra ni reconstruire la commande, ni calculer le COGS, ni détailler la facture.;extrait verifie ligne 248 : var itemsMeta = paiementMeta.chunkItems(validatedLines) || {},;Refuser la création du paiement en 400 explicite plutôt que de dégrader silencieusement.;P2
CODE-085;api/create-payment-intent.js;214;MOYEN;Conversion euros→centimes par multiplication flottante sans Math.round , exact aujourd'hui parce que BAREME ne contient que des entiers, faux dès qu'un tarif prend des décimales.;extrait verifie ligne 214 : var deliveryCents = courseQuote ? courseQuote.prix * 100 : 0,;Envelopper dans Math.round().;P3
CODE-086;api/create-payment-intent.js;27;MOYEN;Pas d'appel à http.applyCors sur un endpoint qui répond pourtant au préflight OPTIONS.;extrait verifie ligne 27 : if (req.method === 'OPTIONS') return res.status(204).end(),;Appliquer applyCors comme dans admin.js et test-email.js.;P3
CODE-087;api/webhook.js;54;BAS;Le corps brut est accumulé en mémoire sans plafond de taille sur un endpoint public non authentifié : un POST volumineux fait exploser la mémoire de la fonction.;extrait verifie ligne 54 : async function readRawBody(req) {;Interrompre la lecture au-delà d'une taille maximale (par exemple 1 Mo) et répondre 413.;P1
CODE-088;api/webhook.js;86;BAS;Une requête NON SIGNÉE déclenche une écriture Firestore (config/webhook_sante) avant toute vérification : un attaquant anonyme peut consommer le quota d'écriture qui a déjà fermé l'administration le 01/08.;extrait verifie ligne 86 : await noterSante('inconnu', {;Ne noter la santé qu'après reconnaissance d'un en-tête de signature valide, ou limiter noterSante par un compteur en mémoire.;P1
CODE-089;api/webhook.js;317;BON;Machine à états d'idempotence explicite (processing/done/failed + péremption du claim), fonction pure et testable, qui autorise la re-livraison au lieu de perdre l'événement.;extrait verifie ligne 317 : function claimDecision(existing, nowMs) {;Rien à changer.;P3
CODE-090;api/webhook.js;826;MOYEN;En cas de dérive, le repli sur une ligne unique fait perdre cogsHtCents : la vente entre au journal sans coût snapshoté et la synthèse comptable passe en `complet: false` sans que la cause soit tracée.;extrait verifie ligne 826 : if (pi.amount != null && sum !== pi.amount) {;Journaliser le motif de dérive dans le document payments/ pour pouvoir corriger a posteriori.;P2
CODE-091;api/webhook.js;382;MOYEN;Le second argument { avecCommission } n'existe pas dans la signature revolut.lirePaiement(id) : l'option est ignorée et le commentaire qui explique son coût réseau est faux.;extrait verifie ligne 382 : p = await paiement.lirePaiement(idOrdre, { avecCommission: encaisse }),;Retirer l'argument ou l'implémenter réellement dans le module fournisseur.;P3
CODE-092;api/webhook.js;1064;MOYEN;La fonction locale `escape` masque la fonction globale du même nom, ce qui rend une future confusion silencieuse.;extrait verifie ligne 1064 : function escape(str) {;Renommer en escapeHtml, comme dans contact.js et courses.js.;P3
CODE-093;api/contact.js;1167;BAS;`pi` n'existe pas dans ce bloc (il est déclaré en const dans le bloc course-create) : la transaction lève ReferenceError et course-goods-paid répond TOUJOURS 500, donc aucune course ne peut passer en 'confirmee'.;extrait verifie ligne 1167 : goodsPaid: true, goodsPaymentIntentId: pi.id,;Remplacer pi.id/pi.amount par paye.id/paye.montantCents.;P0
CODE-094;api/contact.js;1248;BAS;alertCourseAgain référence un `db` inexistant : l'appel rejette APRÈS que la transaction de remise en ligne a été committée, et le handler n'a aucun try/catch ici, donc l'utilisateur reçoit 500 sur une opération pourtant réussie.;extrait verifie ligne 1248 : await coursesLib.alertCourseAgain(out.course, id),;Passer db en paramètre à alertCourseAgain et entourer l'appel d'un try/catch non bloquant.;P0
